Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,Subsystem
D6,DO-214AC,Discrete Semiconductors,Small signal,Rectifier,FAIRCHILD SEMICONDUCTOR,ES1D,200V 1A Fast Rectifier,1,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SMD diode. Mass info: https://www.mouser.ch/ProductDetail/onsemi/ES1D?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,4Q_output_control_card
F1,,Passives,Protection,,MERSEN/FERRAZ SHAWMUT,G076458,"6.3x46mm Cylindrical Very Fast Acting Ceramic Sand Filled Fuse, FA HRC Series",1,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,"Mass from datasheet, aproximated as passive",4Q_output_control_card
"F3,F4",,Passives,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,2,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,As passive,4Q_output_control_card
"FH1, FH3",,Electromechanical,Fuse holder,,BUSSMANN,1A1907-06-R,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",2,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D,4Q_output_control_card
IC1,SOIC16,IC,Digital,Interface,Texas Instruments,AMC3330DWE,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,"logic IC, MASS INFO FROM CASING.",4Q_output_control_card
"IC2, IC3",DIP6 SMD,Modules,Hybrid relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",2,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. TO GENERIC DATABASE.,4Q_output_control_card
IC4,,Modules,DC/DC Converters,,TRACO POWER,TEN 6-2415N,"18-36VDC to 24VDC, Iout (max) 250mA, 6W DC-DC Converter",1,kg,0.0127,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"Mass from datasheet, aproximated as active",4Q_output_control_card
"IC5, IC6",TO-92,IC,Analog,,DALLAS MAXIM,DS18B20,Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C),2,kg,0.000214,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,As integrated circuit. Mass info: https://www.mouser.ch/ProductDetail/Traco-Power/DS18B20%2B?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,4Q_output_control_card
"IC7, IC8",SOIC8,IC,Analog,,TEXAS INSTRUMENTS,INA141U,"Precision, Low Power, G = 10, 100 Instrumentation Amplifier",2,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,4Q_output_control_card
"J1,J3",,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connetor",2,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",4Q_output_control_card
J2,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,4Q_output_control_card
J4,,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,4Q_output_control_card
"J5,J6",,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",2,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,4Q_output_control_card
"R1 > R99, R121 > R123, R125 > R127, R129 > R131",1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,108,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
"R100 > R109; R111 > R120, R124, R128; R133 > R136; R146 > R148; R150 > R152, R154, R165; R169 > R178, R180, R181; R190, R191, R194, R195; R197, R198",1206,Passives,Resistors,,Generic,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,52,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
"R110, R138 > R143, R155 > R164",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,17,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
"R132, R137, R144, R145; R149, R166 > R168, R179; R182 > R189, R192, R193; R196, R201, R206 > R208; R211 > R214; R217 > R219",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,31,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
"R153, R204, R205",1206,Passives,Resistors,,Generic,R1206_10R_1%_0.25W_200PPM,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,3,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
"R199, R200",,Passives,Resistors,Precision Metal Foil Resistor,VISHAY FOIL RESISTOR,Y6071020R000B9L,"±0.1% 0.3W ±2ppm/°C Hermetically Sealed, Ultra-High Precision Z-Foil Technology Resistor- HZ Series",2,kg,0.0014,YES,,,,,,,,,EcoInvent,"resistor production, metal film type, through-hole mounting",kg,Input,"Mass from the datasheet, metal film type is the closest technology",4Q_output_control_card
"R202, R203",1206,Passives,Resistors,Zero Ohm Jumper,Generic,R1206_0R_JUMPER,2A (0.05R Max DC Resistance) Zero Ohm Jumper,3,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.,4Q_output_control_card
REG1,D2PAK,IC,Analog,Power management,STMicroelectronics,L7805ABD2T-TR,"""5V 1.5A Positive Voltage Regulator""",1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,TO-263-2=D2PAK. Mass from casing.,4Q_output_control_card
"REG2,REG4",TO-220,IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7815CT,"""3-Terminal 15V 1A Positive Voltage Regulatorr""",2,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input,mass calculated and it is similar to the one on:https://www.datasheets.com/texas-instruments/LM7815CT%2FNOPB,4Q_output_control_card
"REG3,REG5",TO-220,IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7915CT,3-Terminal 15V 1A Negative Voltage Regulator,2,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from casing,4Q_output_control_card
T1,DPAK,Discrete Semiconductors,Power,MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,1,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors.,4Q_output_control_card
T2,SOT23-3,Discrete Semiconductors,Small signal,MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,.,4Q_output_control_card
T3,DPAK,Discrete Semiconductors,Power,General purpose,onsemi,MJD45H11,80V 8A PNP General-Purpose Power Transistor,1,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors.,4Q_output_control_card
T4,SOT23-3,Discrete Semiconductors,Small signal,Bipolar transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Specific for surface‑mounted transistors; matches SOT‑23 package.,4Q_output_control_card
TP1 > TP6,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),6,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Passive generic not better aproximation,4Q_output_control_card
HS1-HS6,,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 242 SA 220 O,TO-220 Heat Sink Rth: 26°C/W,4,kg,0.001398,YES,,,,,,,,,EcoInvent,"market for aluminium, wrought alloy+ metal working, average for aluminium product manufacturing",kg,Input,"aluminium wrought alloy used in electric components, for the metal workking rest of the world. Mass from:https://www.tme.com/sg/zh/details/fk242sa220o/san-re-qi/fischer-elektronik/fk-242-sa-220-o/",4Q_output_control_card
"J4, J5, J6  screws",,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",6,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws.",4Q_output_control_card
F2,,Passives,Protection,Fuse,MERSEN/FERRAZ SHAWMUT,L080464,"Cylindrical 6.3x32mm, Very HRC, FA Very Fast Acting Fuse",1,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,"Mass from datasheet, aproximated as passive",4Q_output_control_card
FH2,,Electromechanical,Fuse holder,,BUSSMANN,1A1907-06-R,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",1,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D,4Q_output_control_card
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,205,110,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,4Q_output_control_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,205,110,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,4Q_output_control_card
PCB,,PCB,,,Panel of 1,EDA-05281-V1,4Q Output Power Card [25A 100V] Printed Circuit Board (Bare),1,m2,,YES,225,110,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,Bare board,4Q_output_power_card
"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",,Electromechanical,Connectors,,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,kg,0.004,YES,,,,,,,,,EcoInvent,"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk",4Q_output_power_card
C1-C6,,Passives,Capacitors,Paper,KEMET,P272HE102M300A or PME271YA4100MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,13.5,3.9,7.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,It is the most similar to Impregnated Paper,4Q_output_power_card
"C7, C8, C20, C21",,Passives,Capacitors,Paper,KEMET,P272QE103M300A or PME271YB5100MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,18.5,5.2,10.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,It is the most similar to Impregnated Paper,4Q_output_power_card
"C9, C10",,Passives,Capacitors,Paper,KEMET,P272SJ473M300A or PME271YD5470MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,27,8,17,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,It is the most similar to Impregnated Paper,4Q_output_power_card
"C11, C12, C16, C17",,Passives,Capacitors,Film,WIMA,MKP4F052207H00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),4,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,4Q_output_power_card
C13,,Passives,Capacitors,Film,WIMA,MKX2AW41006D00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),1,kg,,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,4Q_output_power_card
"D1, D2",DO-35,Discrete Semiconductors,Small signal,Zener,VISHAY GENERAL SEMICONDUCTOR,BZX55C12,12V 500mW Voltage Regulator Diode,2,kg,0.000125,YES,,,,,,,,,EcoInvent,"diode production, glass-, for through-hole mounting",kg,Input,", it is THT",4Q_output_power_card
"DCCTA, DCCTB",,Modules,Sensors,Current transducer,CAEN ELS,CT-26,"DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series",2,kg,0.3,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,big aproximation: Contains a precision current transformer plus active electronics,4Q_output_power_card
"DCCTA, DCCTB",,Modules,Sensors,Current transducer,CAEN ELS,CT-26,"DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series",2,kg,0.3,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,big aproximation: Contains a precision current transformer plus active electronics,4Q_output_power_card
J3,,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,4Q_output_power_card
R1-R4,,Passives,Resistors,,Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,4,kg,,NO,,,,0.03093,3,4,0.003,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input,"Volume calculated from area and density, THT",4Q_output_power_card
"T1,T2",TO-247-2,Discrete Semiconductors,Power,MOSFET,INFINEON,IRFP4768,250V 93A N-Channel HEXFET® Power MOSFET,2,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,COPY FROM CASING,4Q_output_power_card
Misc1 for DCCTA and DCCTB,,Hardware,Mounting hardware,CERN,EDA-05281-V1_misc1,,"Epoxy Spacer, 133mm WidthS 81.5mm Length 2.0mm Height",1,kg,,NO,133,81.5,2,,1.15,1.19,0,,EcoInvent,"epoxy resin, liquid",kg,Input,"IT IS CALCULATED BASED ON THE VOLUME AND THE DENSITY OF EPOXY, THEN IS SELECTED THE LIQUID RESINE",4Q_output_power_card
for Misc1,,Hardware,Mounting hardware,,BOSSARD,BN628 Art.1241397,"M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2",2,kg,0.000117,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input,IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,4Q_output_power_card
J3 screws,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,4Q_output_power_card
for Misc1,,Hardware,Mounting hardware,,BOSSARD,BN5687 Art.3061582,"M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2",2,kg,0.00004,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,4Q_output_power_card
for Misc1,,Hardware,Mounting hardware,,BOSSARD,BN670 Art.1253131,"Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV",2,kg,0.000035,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,4Q_output_power_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,225,110,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,4Q_output_power_card
PCB,,PCB,,,Panel of 1,EDA-05280-V1,Q Power Card [25A 100V] Printed Circuit Board (Bare),1,m2,,YES,170,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",4Q_power_card
"0V_B1, 0V_B2, 15V_A1, 15V_A2, 15V_B1, 15V_B2, 24V, 4Q_I_MEAS_M, 4Q_I_MEAS_P, BC_CMD, CDE_A1, CDE_A2, CDE_B1, CDE_B2, G_A1, G_A2, G_B1, G_B2, GND, V_DC_M, V_DC_P, V_HA, V_HB",,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Passive generic,4Q_power_card
"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,Electromechanical,Connectors,,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,kg,0.004,YES,,,,,,,,,EcoInvent,"market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk",4Q_power_card
C2-C5,1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,4,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",4Q_power_card
C6-C25,1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_200V_10%_X7R,±10% 200V X7R SMD Ceramic Chip Capacitor,20,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",4Q_power_card
"C26, C34, C50, C52–C61, C65, C68, C69, C73, C77",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,33,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"MLCCs.""",4Q_power_card
"C29,C51",,Passives,Capacitors,Film,WIMA,MKS4F053307H00MSSD,±20% 250VDC/160VAC Metallized Polyester Film Capacitor (MKS4),2,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,4Q_power_card
C30-C33,E,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,4,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,Defined by the casing amd the function,4Q_power_card
"C62, C64, C66, C67,C70 > C72, C75",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,8,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",4Q_power_card
"C63, C78-0C81",,Passives,Capacitors,Electrolytic,VISHAY BCCOMPONENTS,MAL205253471E3,+30% -10% 250V Radial Aluminum Capacitor Power Eurodin Printed Wiring(052 PED-PW Series),5,kg,0.066,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, > 2cm height",kg,Input,In the datasheet it specifies that is electrolytic that is more than 2cm and the aproximated mass,4Q_power_card
"C74, C76",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors"" and ""termination (SMT),MLCCs.",4Q_power_card
"D1,D2",TO-220-2-V,Discrete Semiconductors,Power,Schottky rectifier,ON SEMICONDUCTOR,MBR40250G,250V 40A Switch-Mode Schottky Power Rectifier,2,kg,0.0019,YES,,,,,,,,,EcoInvent,"transistor production, wired, small size, through-hole mounting",kg,Input,Mass data from: https://www.chipdip.am/product/mbr40250g-on-semiconductor-8002980390,4Q_power_card
