Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
"R47, R48",0402,Passives,Resistors,Thick Film,GENERIC,R0402_240K_1%_0.0625W_100PPM,240kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R63_ADC_1, R63_ADC_2, R63_ADC_3, R63_ADC_4, R63_ADC_5, R63_ADC_6, R68_ADC_1, R68_ADC_2, R68_ADC_3, R68_ADC_4, R68_ADC_5, R68_ADC_6, R69_ADC_1, R69_ADC_2, R69_ADC_3, R69_ADC_4, R69_ADC_5, R69_ADC_6, R74_ADC_1, R74_ADC_2, R74_ADC_3, R74_ADC_4, R74_ADC_5, R74_ADC_6, R75_ADC_1, R75_ADC_2, R75_ADC_3, R75_ADC_4, R75_ADC_5, R75_ADC_6, R80_ADC_1, R80_ADC_2, R80_ADC_3, R80_ADC_4, R80_ADC_5, R80_ADC_6, R81_ADC_1, R81_ADC_2, R81_ADC_3, R81_ADC_4, R81_ADC_5, R81_ADC_6, R86_ADC_1, R86_ADC_2, R86_ADC_3, R86_ADC_4, R86_ADC_5, R86_ADC_6, R87_ADC_1, R87_ADC_2, R87_ADC_3, R87_ADC_4, R87_ADC_5, R87_ADC_6, R92_ADC_1, R92_ADC_2, R92_ADC_3, R92_ADC_4, R92_ADC_5, R92_ADC_6, R93_ADC_1, R93_ADC_2, R93_ADC_3, R93_ADC_4, R93_ADC_5, R93_ADC_6, R98_ADC_1, R98_ADC_2, R98_ADC_3, R98_ADC_4, R98_ADC_5, R98_ADC_6, R99_ADC_1, R99_ADC_2, R99_ADC_3, R99_ADC_4, R99_ADC_5, R99_ADC_6, R104_ADC_1, R104_ADC_2, R104_ADC_3, R104_ADC_4, R104_ADC_5, R104_ADC_6, R105_ADC_1, R105_ADC_2, R105_ADC_3, R105_ADC_4, R105_ADC_5, R105_ADC_6, R110_ADC_1, R110_ADC_2, R110_ADC_3, R110_ADC_4, R110_ADC_5, R110_ADC_6, R126",0402,Passives,Resistors,Thick Film,GENERIC,R0402_1M_1%_0.0625W_100PPM,1MΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,97,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R64_ADC_1, R64_ADC_2, R64_ADC_3, R64_ADC_4, R64_ADC_5, R64_ADC_6, R65_ADC_1, R65_ADC_2, R65_ADC_3, R65_ADC_4, R65_ADC_5, R65_ADC_6, R66_ADC_1, R66_ADC_2, R66_ADC_3, R66_ADC_4, R66_ADC_5, R66_ADC_6, R67_ADC_1, R67_ADC_2, R67_ADC_3, R67_ADC_4, R67_ADC_5, R67_ADC_6, R70_ADC_1, R70_ADC_2, R70_ADC_3, R70_ADC_4, R70_ADC_5, R70_ADC_6, R71_ADC_1, R71_ADC_2, R71_ADC_3, R71_ADC_4, R71_ADC_5, R71_ADC_6, R72_ADC_1, R72_ADC_2, R72_ADC_3, R72_ADC_4, R72_ADC_5, R72_ADC_6, R73_ADC_1, R73_ADC_2, R73_ADC_3, R73_ADC_4, R73_ADC_5, R73_ADC_6, R76_ADC_1, R76_ADC_2, R76_ADC_3, R76_ADC_4, R76_ADC_5, R76_ADC_6, R77_ADC_1, R77_ADC_2, R77_ADC_3, R77_ADC_4, R77_ADC_5, R77_ADC_6, R78_ADC_1, R78_ADC_2, R78_ADC_3, R78_ADC_4, R78_ADC_5, R78_ADC_6, R79_ADC_1, R79_ADC_2, R79_ADC_3, R79_ADC_4, R79_ADC_5, R79_ADC_6, R82_ADC_1, R82_ADC_2, R82_ADC_3, R82_ADC_4, R82_ADC_5, R82_ADC_6, R83_ADC_1, R83_ADC_2, R83_ADC_3, R83_ADC_4, R83_ADC_5, R83_ADC_6, R84_ADC_1, R84_ADC_2, R84_ADC_3, R84_ADC_4, R84_ADC_5, R84_ADC_6, R85_ADC_1, R85_ADC_2, R85_ADC_3, R85_ADC_4, R85_ADC_5, R85_ADC_6, R88_ADC_1, R88_ADC_2, R88_ADC_3, R88_ADC_4, R88_ADC_5, R88_ADC_6, R89_ADC_1, R89_ADC_2, R89_ADC_3, R89_ADC_4, R89_ADC_5, R89_ADC_6, R90_ADC_1, R90_ADC_2, R90_ADC_3, R90_ADC_4, R90_ADC_5, R90_ADC_6, R91_ADC_1, R91_ADC_2, R91_ADC_3, R91_ADC_4, R91_ADC_5, R91_ADC_6, R94_ADC_1, R94_ADC_2, R94_ADC_3, R94_ADC_4, R94_ADC_5, R94_ADC_6, R95_ADC_1, R95_ADC_2, R95_ADC_3, R95_ADC_4, R95_ADC_5, R95_ADC_6, R96_ADC_1, R96_ADC_2, R96_ADC_3, R96_ADC_4, R96_ADC_5, R96_ADC_6, R97_ADC_1, R97_ADC_2, R97_ADC_3, R97_ADC_4, R97_ADC_5, R97_ADC_6, R100_ADC_1, R100_ADC_2, R100_ADC_3, R100_ADC_4, R100_ADC_5, R100_ADC_6, R101_ADC_1, R101_ADC_2, R101_ADC_3, R101_ADC_4, R101_ADC_5, R101_ADC_6, R102_ADC_1, R102_ADC_2, R102_ADC_3, R102_ADC_4, R102_ADC_5, R102_ADC_6, R103_ADC_1, R103_ADC_2, R103_ADC_3, R103_ADC_4, R103_ADC_5, R103_ADC_6, R106_ADC_1, R106_ADC_2, R106_ADC_3, R106_ADC_4, R106_ADC_5, R106_ADC_6, R107_ADC_1, R107_ADC_2, R107_ADC_3, R107_ADC_4, R107_ADC_5, R107_ADC_6, R108_ADC_1, R108_ADC_2, R108_ADC_3, R108_ADC_4, R108_ADC_5, R108_ADC_6, R109_ADC_1, R109_ADC_2, R109_ADC_3, R109_ADC_4, R109_ADC_5, R109_ADC_6, R160, R161, R162, R163",0402,Passives,Resistors,Thick Film,GENERIC,R0402_220R_1%_0.0625W_100PPM,220Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,196,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R121, R122, R134, R135, R136, R142, R143, R144, R145, R146, R147, R148, R168",0402,Passives,Resistors,Zero Ohm,GENERIC,R0402_0R_JUMPER,0Ω Zero Ohm Jumper,13,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
R127,0402,Passives,Resistors,Thick Film,GENERIC,R0402_60K4_1%_0.063W_100PPM,60.4kΩ ±1% 0.063W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R128, R167",0402,Passives,Resistors,Thick Film,GENERIC,R0402_180K_1%_0.0625W_100PPM,180kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R130, R150, R151, R152, R153, R154",0402,Passives,Resistors,Thick Film,GENERIC,R0402_8R2_1%_0.0625W_200PPM,8.2Ω ±1% 0.0625W 200ppm/°C Thick Film Chip Resistor,6,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R139, R141",0402,Passives,Resistors,Thick Film,GENERIC,R0402_120K_1%_0.0625W_100PPM,120kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
R164,0805,Passives,Resistors,Thick Film,GENERIC,R0805_10M_1%_0.125W_100PPM,10MΩ ±1% 0.125W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,2.0,1.25,0.5,,3,4,0.000001,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0805 resistor.
R165,1206,Passives,Resistors,Thick Film,GENERIC,R1206_0R01_1%_1W_100PPM,0.01Ω ±1% 1W 100ppm/°C Current Sense Chip Resistor,1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 1206 resistor
R166,0402,Passives,Resistors,Thick Film,GENERIC,R0402_1K5_1%_0.0625W_100PPM,1.5kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
R169,0402,Passives,Resistors,Thick Film,GENERIC,R0402_33K_1%_0.0625W_100PPM,33kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"RN1_ADC_1, RN1_ADC_2, RN1_ADC_3, RN1_ADC_4, RN1_ADC_5, RN1_ADC_6, RN2_ADC_1, RN2_ADC_2, RN2_ADC_3, RN2_ADC_4, RN2_ADC_5, RN2_ADC_6",,Passives,Resistors,Resistor Network,YAGEO,YC248-JR-0733RL,"8 Isolated Resistors, 33Ω, 5%, 10×4×2mm",12,kg,0.00011,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,passsive because is a group of resistors so it is accurate to just use a generic. mass: https://www.mouser.ch/ProductDetail/YAGEO/YC248-JR-0733RL?qs=nLJruSqDb979t1oygygK%252Bw%3D%3D
"RN3_ANA_CAL_0, RN3_ANA_CAL_1",,Passives,Resistors,Resistor Network,VISHAY,Y1365V0548BA0,"4 Resistors 10k-3k5-3k5-10k, 0.05%",2,kg,0.00008,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://uk.farnell.com/vishay-foil-resistors/y1365v0008qt9r/res-n-w-precision-4-res-10k-10k/dp/2820565RL
"RN4, RN6",SOT23-3,Passives,Resistors,Resistor Divider,VISHAY,MPMT10015001AT1,"1k/5k Resistor Divider, 0.1%",2,kg,0.000008,YES,,,,,,,,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Vishay-Thin-Film/MPMT10015001AT1?qs=nuXzIS8loXFNGU%2Fu8RPhCw%3D%3D
"RN5, RN8_ANA_CAL_0, RN8_ANA_CAL_1, RN9, RN10, RN11, RN12, RN13, RN14, RN15, RN16",0804,Passives,Resistors,Resistor Network,YAGEO,YC124-JR-0710RL,"4 Isolated Resistors, 10Ω, 5%, 5×4×2mm",11,kg,0.000129,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,mass: https://www.mouser.ch/ProductDetail/YAGEO/YC124-JR-0710RL?qs=8cPjvKtxWv5nBVVOMnQKvw%3D%3D
RN7,SOIC16,Passives,Resistors,Resistor Network,VISHAY,NOMCA16031002A,"8 Isolated Resistors, 10kΩ, 0.1%",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Vishay-Thin-Film/NOMCA16031002ATS?qs=PA%252BPfIdQ8xn4mv4Zs3psSQ%3D%3D
T1,SOT223,Discrete Semiconductors,Small signal,Bipolar semiconductors,ONSEMI,PZT2907A,"PNP Transistor, 60V, 600mA, SOT223",1,kg,0.000188,YES,,,,,,,,,EcoInvent,"transistor production, surface-mounted",kg,Input,https://www.mouser.es/ProductDetail/onsemi/PZT2907A?qs=UMEuL5FsraBXxz0nJet9Bg%3D%3D&srsltid=AfmBOopeoHCKH87-Ml34XF83hB62K3xHh1JxjGd1zT-2WUcnM2BNkdqF
"T2, T3",SOT23-3,Discrete Semiconductors,Small signal,Bipolar Transistor,ONSEMI,MMBT2222A,"NPN Transistor, 40V, 600mA, SOT23",2,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,https://eu.mouser.com/ProductDetail/onsemi/MMBT2222ALT1G?qs=HVbQlW5zcXWwnD7Jokybqg%3D%3D&utm_id=22436684119&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22426730046&gbraid=0AAAAADn_wf3MMOq51xvQ_ZjdhmwfA-CwU&gclid=Cj0KCQjw1ZjOBhCmARIsADDuFTCQZHjv8zG1rLRjQKEE_tDBw2mmxUCuU4iRJzWEMaGFz2a0RVadYQsaAvYAEALw_wcB
"TP43, TP44_ANA_CAL_0, TP44_ANA_CAL_1, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP53",,Passives,Test PIN,,HARWIN,S2761-46R,"Through-Hole Test Point, PC Test Pin",11,kg,0.000006,YES,,,,,,0,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Harwin/S2761-46R?qs=DaxoyN%2FvrebHvZaagZ7Fog%3D%3D
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,
