Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
C114,1808,Passives,Capacitors,kg,kg,9.36e-05,9.36e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1808_1NF_3000V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 1nF, 3000V, X7R, 1808",1,9.36e-05,NO,4.5,2.0,1.6,,6,7,0,,EcoInvent,Input,Dimmensions info: https://www.fhcomp.com/en/product_page/?code=010103&page=57,12,1,1,CALCULATED,0.0144,0.0936,6.5,MIN_MAX_AVG,
C158,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_NO-VALUE,Reserved Footprint For 0402(1005) Chip Ceramic Capacitor,1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,13,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
C159,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_NO-VALUE,Reserved Footprint For 0402(1005) Chip Ceramic Capacitor,1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,14,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
C161,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_15NF_50V_5%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 15nF, 50V, X7R, 0402",1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,15,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
C162,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 47pF, 50V, C0G, 0402",1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,16,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
"C168_DIG_IND_IN_1, C168_DIG_IND_IN_2, C168_DIG_IND_IN_3, C168_DIG_IND_IN_4, C168_DIG_IND_IN_5, C168_DIG_IND_IN_6, C168_DIG_IND_IN_7, C168_DIG_IND_IN_8, C168_DIG_IND_IN_9, C168_DIG_IND_IN_10, C168_DIG_IND_IN_11, C168_DIG_IND_IN_12, C168_DIG_IND_IN_13, C168_DIG_IND_IN_14",0603,Passives,Capacitors,kg,kg,9.3184e-05,9.3184e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,6.656e-06,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,17,1,1,CALCULATED,0.001024,0.006656,6.5,MIN_MAX_AVG,
"C169_DIG_IND_IN_1, C169_DIG_IND_IN_2, C169_DIG_IND_IN_3, C169_DIG_IND_IN_4, C169_DIG_IND_IN_5, C169_DIG_IND_IN_6, C169_DIG_IND_IN_7, C169_DIG_IND_IN_8, C169_DIG_IND_IN_9, C169_DIG_IND_IN_10, C169_DIG_IND_IN_11, C169_DIG_IND_IN_12, C169_DIG_IND_IN_13, C169_DIG_IND_IN_14",0603,Passives,Capacitors,kg,kg,9.3184e-05,9.3184e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,6.656e-06,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,18,1,1,CALCULATED,0.001024,0.006656,6.5,MIN_MAX_AVG,
"C176, C180, C265, C266",0805,Passives,Capacitors,kg,kg,7.8e-05,7.8e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0805_1UF_100V_10%_X7S,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",6,1.3e-05,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,Input,0805 MLCC.,19,1,1,CALCULATED,0.002,0.013,6.5,MIN_MAX_AVG,
"C181, C227_P24V_FUSE1, C227_P24V_FUSE2, C227_P24V_FUSE3, C227_P24V_FUSE4, C227_P24V_FUSE5, C227_P24V_FUSE6, C227_P24V_FUSE7, C227_P24V_FUSE8",0402,Passives,Capacitors,kg,kg,1.4625e-05,1.4625e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_10NF_25V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 10nF, 25V, X7R, 0402",9,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,20,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
"C209, C210",0402,Passives,Capacitors,kg,kg,3.25e-06,3.25e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 33pF, 50V, C0G, 0402",2,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,21,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
"C243, C244, C245, C246, C251, C252, C253",0402,Passives,Capacitors,kg,kg,1.1375e-05,1.1375e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_470NF_50V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 470nF, 50V, X5R, 0402",7,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,22,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
C263,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_100PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 100pF, 50V, C0G, 0402",1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ,23,1,1,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
"C45, C182, C183",C,Passives,Capacitors,kg,kg,0.0009,0.0009,"capacitor production, electrolyte type, < 2cm height",Tantalum,GENERIC,CTE6032-28_22UF_25V_10%_LESR0250,"Low ESR 0R25 Solid Tantalum Chip Capacitor, 22µF, 25V, 6032",3,0.0003,YES,,,,,,,,,EcoInvent,Input,mASS INFO: https://www.mouser.ch/ProductDetail/KEMET/T491C226M025AT2478?qs=xy9o06WtvdCrW9e4Ll4TFg%3D%3D,8,2,2,DATASHEET_QTY_KG,,0.3,,MISSING,
"D1, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D34, D35, D36, D37, D40, D41, D42, D43, D44, D45, D46",SOD523,Discrete Semiconductors,Small Signal,kg,kg,3.84e-05,3.84e-05,"diode production, glass-, for surface-mounting",Diode,ON SEMICONDUCTOR,ESD351DPY,1 Channel 30KV ESD Protection Diode with Low Clamping Voltage,24,1.6e-06,YES,,,,,,,,,EcoInvent,Input,mas info: https://www.mouser.ch/ProductDetail/Texas-Instruments/ESD321DPYR?qs=w%2Fv1CP2dgqoz82xSjB3hKw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Gb6CfCx7bDV5PaCgnjfeVkPBUioh6SyvV-N967xG0ujy-XaX5kZMxoCOPkQAvD_BwE,24,3,3,DATASHEET_QTY_KG,,0.0016,,MISSING,
D2,SOT23,Discrete Semiconductors,ESD Protection,kg,kg,8.2125e-06,8.2125e-06,"diode production, glass-, for surface-mounting",NXP,PRTR5V0U2X,40V 200mA PNP General Purpose Transistor,Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV),1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,SOT23-3 package; mass standard from casing.,25,4,4,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"D15_CONTACT_OUT_0, D15_CONTACT_OUT_1, D15_CONTACT_OUT_2, D15_CONTACT_OUT_3, D15_CONTACT_OUT_4, D15_CONTACT_OUT_5",DO214AC,Discrete Semiconductors,Small Signal,kg,kg,0.000366,0.000366,"diode production, glass-, for surface-mounting",TVS,BOURNS,SMAJ60CA,Surface Mount Bi-directional Transient Voltage Suppressor Diode,6,6.1e-05,YES,,,,,,,,,EcoInvent,Input,DO-214AC (SMA) package; mass from typical SMAJ series (~0.12g).https://www.mouser.ch/ProductDetail/Littelfuse/SMAJ58CA?qs=zHiv0nsVGmqWEBj8DDvFYg%3D%3D&utm_id=9873308309&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=9873308309&gbraid=0AAAAADn_wf0xksvJXPRZmGpTG3_AWCgE9&gclid=CjwKCAjwspPOBhB9EiwATFbi5DVFIS5iZ0I7SaEpkD6SkhO4yjgczxct-NmvBDTe0JJtc29rDoJWNxoCKXAQAvD_BwE,26,5,5,DATASHEET_QTY_KG,,0.061,,MISSING,
"D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D27, D28",0402,Discrete Semiconductors,Small Signal,kg,kg,1.95e-05,1.95e-05,"capacitor production, for surface-mounting",ESD Protection,TI,0402ESDA-MLP,0.05pF 8kV Bidirectional ESD Voltage Suppressor,12,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,Input,,27,6,6,CALCULATED,0.00025,0.001625,6.5,MIN_MAX_AVG,
"D50, D51, D52, D53",SOD523,Discrete Semiconductors,Small Signal,kg,kg,6.4e-06,6.4e-06,"diode production, glass-, for surface-mounting",ESD Protection,NEXPERIA,PESD3V3S1UB,ESD protection diode (23kV),4,1.6e-06,YES,,,,,,,,,EcoInvent,Input,mass from casing,34,6,6,DATASHEET_QTY_KG,,0.0016,,MISSING,
"D30, D31, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65",SOD123,Discrete Semiconductors,Small Signal,kg,kg,0.004662,0.004662,"diode production, glass-, for surface-mounting",Current Regulative,SEMITEC,S-103T,Current Regulative Diode (CRD),14,0.000333,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Semitec/S-103T?qs=wgO0AD0o1vvf9UGICXPRmQ%3D%3D&srsltid=AfmBOopD8b71ZGh61gk1tI5mDPGxJ7kz40yhpJ5_m9d2wYXbavCx1hei,28,7,7,DATASHEET_QTY_KG,,0.333,,MISSING,
"D32_DIG_FAST_IN_CCT_0, D32_DIG_FAST_IN_CCT_1, D32_DIG_FAST_IN_CCT_2, D32_DIG_FAST_IN_CCT_3, D32_DIG_FAST_IN_CCT_4, D32_DIG_FAST_IN_CCT_5, D32_DIG_FAST_IN_CCT_6, D32_DIG_FAST_IN_CCT_7, D32_DIG_FAST_IN_CCT_8, D32_DIG_FAST_IN_CCT_9, D32_DIG_FAST_IN_CCT_10, D32_DIG_FAST_IN_CCT_11, D32_DIG_FAST_IN_CCT_12, D32_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,kg,kg,0.000114975,0.000114975,"diode production, glass-, for surface-mounting",Switching,DIODES INC.,BAS70-04,30V Silicon Hot-Carrier Detector and Switching Diode,14,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,SOT23-3 package; mass standard from casing.,29,8,8,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"D33_DIG_FAST_IN_CCT_0, D33_DIG_FAST_IN_CCT_1, D33_DIG_FAST_IN_CCT_2, D33_DIG_FAST_IN_CCT_3, D33_DIG_FAST_IN_CCT_4, D33_DIG_FAST_IN_CCT_5, D33_DIG_FAST_IN_CCT_6, D33_DIG_FAST_IN_CCT_7, D33_DIG_FAST_IN_CCT_8, D33_DIG_FAST_IN_CCT_9, D33_DIG_FAST_IN_CCT_10, D33_DIG_FAST_IN_CCT_11, D33_DIG_FAST_IN_CCT_12, D33_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,kg,kg,0.000114975,0.000114975,"diode production, glass-, for surface-mounting",Zener,NXP,BZX84-C4V7,Zener Voltage Regulator,14,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,SOT23-3 package; mass standard from casing.,30,9,9,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
D48,SOT23,Discrete Semiconductors,Small Signal,kg,kg,8.2125e-06,8.2125e-06,"diode production, glass-, for surface-mounting",Zener,DIODES INC.,BZX84C4V7,Zener Diode,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,SOT23-3 package; mass standard from casing.,33,9,9,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"D38, D39",SOD123FL,Discrete Semiconductors,Power,kg,kg,3.6e-05,3.6e-05,"diode production, glass-, for surface-mounting",Schottky Rectifier,DIODES INC.,DFLS230,Schottky Barrier Rectifier,2,1.8e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.mx/ProductDetail/Diodes-Incorporated/DFLS230-7?qs=JV7lzlMm3yJTkwg6QdustA%3D%3D&srsltid=AfmBOoqPfUZr9EODjAGri1UBJpfeRZ8CapF2HzTbel3GD8i6hwPfW7Xa,31,10,10,DATASHEET_QTY_KG,,0.018,,MISSING,
D47,SOT23,Discrete Semiconductors,Small Signal,kg,kg,8.2125e-06,8.2125e-06,"diode production, glass-, for surface-mounting",Schottky,DIODES INC.,BAT54C,Dual Common Cathode Small Signal Schottky Diode,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,SOT23-3 package; mass standard from casing.,32,11,11,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"F1, F2, F3, F4, F5, F6, F8, F9, F10, F11, F12, F13",1206,Passives,Protection,kg,kg,0.005688,0.005688,"electronic component, passive, unspecified",PTC Fuse,BOURNS,MF-SM030,"Surface Mount PTC Resettable Fuse, 300mA, 60V, PTS Series",12,0.000474,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.eu/bg/en/details/mf-sm030-2/smd-polymer-fuses/bourns/,35,12,12,DATASHEET_QTY_KG,,0.474,,MISSING,
IC1,,IC,Logic / Mixed-Signal,kg,kg,0.000369,0.000369,"integrated circuit production, logic type",USB Interface,FTDI,FT4232H-56Q,Quad High Speed USB to Multipurpose UART/MPSSE IC,1,0.000369,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/FTDI/FT4232H-56Q-REEL?qs=u4lROS522ZXOAajeXbX%2FmA%3D%3D&srsltid=AfmBOoo_CyuzmuQGSV8qIsJ3FK9ef2SL6_YhveYAmIMR28WsW7ui1qeg,36,13,13,DATASHEET_QTY_KG,,0.369,,MISSING,
IC2,,IC,Memory,kg,kg,6.5e-06,6.5e-06,"integrated circuit production, logic type",EEPROM,MICROCHIP,93LC56B-I/OT,"2K, 128X16-bit, 2.5V Microwire Compatible Serial EEPROM",1,6.5e-06,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Microchip-Technology/93LC56BT-I-OT?qs=lQv0JY93vrc7B5Rh5LPW8g%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5D_n54ESvg5TFVXDGnzANCaxzjxC9ymSBAajzYRTqbLjRmIF6muWYhoC3QoQAvD_BwE,37,14,14,DATASHEET_QTY_KG,,0.0065,,MISSING,
IC52,SOIC8,IC,Memory,kg,kg,4.0131e-05,4.0131e-05,"integrated circuit production, logic type",EEPROM,MICROCHIP,24AA025E48-I/SN,"1.7V-5.5V, 2K I2C™ Serial EEPROMs with EUI-48™ Node Identity",1,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,Input,Mass from casing,57,14,14,CALCULATED,0.0334425,0.040131,1.2,MIN_MAX_AVG,
IC3,,IC,Analog,kg,kg,6.3e-05,6.3e-05,"integrated circuit production, logic type",Power Management,MICROCHIP,MIC5219-3.3YM5,3.3V 500mA Peak Output Low Drop-Out (LDO) Regulator,1,6.3e-05,YES,,,,,,,,,EcoInvent,Input,SOT23-5 package; mass from volume (0.0051 cm³) × 1.25 + metal_extra 0.0015 = 0.0079 g.https://www.mouser.ch/ProductDetail/Microchip-Technology/MIC5219-33YM5-TR?qs=U6T8BxXiZAWojkIJMtSJlw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Hvx8qEgGwKmH4k0hTk5ddJ9Ah036eQNJRXK517bGR5Dy3IbDm4sGhoCU8cQAvD_BwE,38,15,15,DATASHEET_QTY_KG,,0.063,,MISSING,
IC14,SOT89,IC,Analog,kg,kg,0.00019,0.00019,"integrated circuit production, logic type",Power Management,STMICROELECTRONICS,L78L05ACUTR,5V 100mA Positive Voltage Regulator,1,0.00019,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/STMicroelectronics/L78L05ACUTR?qs=ea963RooIhgG%252BOLUK%2FI3vQ%3D%3D,45,15,15,DATASHEET_QTY_KG,,0.19,,MISSING,
IC16,SOT223,IC,Analog,kg,kg,0.000112,0.000112,"integrated circuit production, logic type",Power Management,TEXAS INSTRUMENTS,TLV1117-18IDCY,"1.8V, 800mA Low-Dropout Voltage Regulator",1,0.000112,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TLV1117-18IDCY?qs=p6lVfQR1GSoxnN6%252Be%252BbeYw%3D%3D,47,15,15,DATASHEET_QTY_KG,,0.112,,MISSING,
