Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
4,2,2,MLCC,Passives,Capacitors,"C6, C13, C22, C25, C28, C31, C34, C37, C40, C109, C115, C121, C127",0603,CC0603_22UF_10V_20%_X5R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,8.6528e-05,0.006656,0.086528,8.6528e-05,mass-based,
5,2,2,MLCC,Passives,Capacitors,"C8, C10, C19",0402,CC0402_4.7UF_6.3V_20%_X5R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,4.875e-06,0.001625,0.004875,4.875e-06,mass-based,
6,2,2,MLCC,Passives,Capacitors,"C12, C46, C51, C52, C53, C170, C172, C174, C273",0402,CC0402_10UF_6.3V_20%_X5R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.4625e-05,0.001625,0.014625,1.4625e-05,mass-based,
7,2,2,MLCC,Passives,Capacitors,"C42, C160, C165, C166, C177, C178, C179, C184, C185, C186, C264",1210,CC1210_10UF_75V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.00076714638,0.069741,0.767146,0.00076714638,mass-based,
8,2,2,MLCC,Passives,Capacitors,C43,1210,CC1210_47UF_16V_10%_X5R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,6.974058e-05,0.069741,0.069741,6.974058e-05,mass-based,
10,2,2,MLCC,Passives,Capacitors,"C56, C57, C72, C73, C74, C75, C76, C77, C82, C83, C84, C85, C90, C91, C93, C95, C97, C98, C100, C101, C136, C137, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C211, C212, C247, C248, C249, C250, C254, C255, C256, C259, C260, C281, C282, C283, C284, C285, C286, C287, C289, C290, C291",0805,CC0805_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000741,0.013,0.741,0.000741,mass-based,
11,2,2,MLCC,Passives,Capacitors,"C92_CONTACT_OUT_0, C92_CONTACT_OUT_1, C92_CONTACT_OUT_2, C92_CONTACT_OUT_3, C92_CONTACT_OUT_4, C92_CONTACT_OUT_5",0805,CC0805_1UF_100V_10%_X7S,EcoInvent,"capacitor production, for surface-mounting",kg,Input,7.8e-05,0.013,0.078,7.8e-05,mass-based,
12,2,2,MLCC,Passives,Capacitors,"C105, C107, C163, C164, C225_P24V_FUSE1, C225_P24V_FUSE2, C225_P24V_FUSE3, C225_P24V_FUSE4, C225_P24V_FUSE5, C225_P24V_FUSE6, C225_P24V_FUSE7, C225_P24V_FUSE8, C226_P24V_FUSE1, C226_P24V_FUSE2, C226_P24V_FUSE3, C226_P24V_FUSE4, C226_P24V_FUSE5, C226_P24V_FUSE6, C226_P24V_FUSE7, C226_P24V_FUSE8",0603,CC0603_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.00013312,0.006656,0.13312,0.00013312,mass-based,
13,2,2,MLCC,Passives,Capacitors,C114,1808,CC1808_1NF_3000V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,9.36e-05,0.0936,0.0936,9.36e-05,mass-based,
14,2,2,MLCC,Passives,Capacitors,C158,0402,CC0402_NO-VALUE,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,0.001625,0.001625,1.625e-06,mass-based,
15,2,2,MLCC,Passives,Capacitors,C159,0402,CC0402_NO-VALUE,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,0.001625,0.001625,1.625e-06,mass-based,
16,2,2,MLCC,Passives,Capacitors,C161,0402,CC0402_15NF_50V_5%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,0.001625,0.001625,1.625e-06,mass-based,
17,2,2,MLCC,Passives,Capacitors,C162,0402,CC0402_47PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,0.001625,0.001625,1.625e-06,mass-based,
18,2,2,MLCC,Passives,Capacitors,"C168_DIG_IND_IN_1, C168_DIG_IND_IN_2, C168_DIG_IND_IN_3, C168_DIG_IND_IN_4, C168_DIG_IND_IN_5, C168_DIG_IND_IN_6, C168_DIG_IND_IN_7, C168_DIG_IND_IN_8, C168_DIG_IND_IN_9, C168_DIG_IND_IN_10, C168_DIG_IND_IN_11, C168_DIG_IND_IN_12, C168_DIG_IND_IN_13, C168_DIG_IND_IN_14",0603,CC0603_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,9.3184e-05,0.006656,0.093184,9.3184e-05,mass-based,
19,2,2,MLCC,Passives,Capacitors,"C169_DIG_IND_IN_1, C169_DIG_IND_IN_2, C169_DIG_IND_IN_3, C169_DIG_IND_IN_4, C169_DIG_IND_IN_5, C169_DIG_IND_IN_6, C169_DIG_IND_IN_7, C169_DIG_IND_IN_8, C169_DIG_IND_IN_9, C169_DIG_IND_IN_10, C169_DIG_IND_IN_11, C169_DIG_IND_IN_12, C169_DIG_IND_IN_13, C169_DIG_IND_IN_14",0603,CC0603_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,9.3184e-05,0.006656,0.093184,9.3184e-05,mass-based,
20,2,2,MLCC,Passives,Capacitors,"C176, C180, C265, C266",0805,CC0805_1UF_100V_10%_X7S,EcoInvent,"capacitor production, for surface-mounting",kg,Input,7.8e-05,0.013,0.078,7.8e-05,mass-based,
21,2,2,MLCC,Passives,Capacitors,"C181, C227_P24V_FUSE1, C227_P24V_FUSE2, C227_P24V_FUSE3, C227_P24V_FUSE4, C227_P24V_FUSE5, C227_P24V_FUSE6, C227_P24V_FUSE7, C227_P24V_FUSE8",0402,CC0402_10NF_25V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.4625e-05,0.001625,0.014625,1.4625e-05,mass-based,
22,2,2,MLCC,Passives,Capacitors,"C209, C210",0402,CC0402_33PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,0.001625,0.00325,3.25e-06,mass-based,
23,2,2,MLCC,Passives,Capacitors,"C243, C244, C245, C246, C251, C252, C253",0402,CC0402_470NF_50V_10%_X5R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.1375e-05,0.001625,0.011375,1.1375e-05,mass-based,
24,2,2,MLCC,Passives,Capacitors,C263,0402,CC0402_100PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,0.001625,0.001625,1.625e-06,mass-based,
9,3,3,Tantalum,Passives,Capacitors,"C45, C182, C183",C,CTE6032-28_22UF_25V_10%_LESR0250,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.0009,0.3,0.9,0.0009,mass-based,
25,4,4,Diode,Discrete Semiconductors,Small Signal,"D1, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D34, D35, D36, D37, D40, D41, D42, D43, D44, D45, D46",SOD523,ESD351DPY,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,3.84e-05,0.0016,0.0384,3.84e-05,mass-based,
26,5,5,NXP,Discrete Semiconductors,ESD Protection,D2,SOT23,40V 200mA PNP General Purpose Transistor,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
27,6,6,TVS,Discrete Semiconductors,Small Signal,"D15_CONTACT_OUT_0, D15_CONTACT_OUT_1, D15_CONTACT_OUT_2, D15_CONTACT_OUT_3, D15_CONTACT_OUT_4, D15_CONTACT_OUT_5",DO214AC,SMAJ60CA,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000366,0.061,0.366,0.000366,mass-based,
28,7,7,ESD Protection,Discrete Semiconductors,Small Signal,"D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D27, D28",0402,0402ESDA-MLP,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.95e-05,0.001625,0.0195,1.95e-05,mass-based,
35,7,7,ESD Protection,Discrete Semiconductors,Small Signal,"D50, D51, D52, D53",SOD523,PESD3V3S1UB,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,6.4e-06,0.0016,0.0064,6.4e-06,mass-based,
29,8,8,Current Regulative,Discrete Semiconductors,Small Signal,"D30, D31, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65",SOD123,S-103T,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.004662,0.333,4.662,0.004662,mass-based,
30,9,9,Switching,Discrete Semiconductors,Small Signal,"D32_DIG_FAST_IN_CCT_0, D32_DIG_FAST_IN_CCT_1, D32_DIG_FAST_IN_CCT_2, D32_DIG_FAST_IN_CCT_3, D32_DIG_FAST_IN_CCT_4, D32_DIG_FAST_IN_CCT_5, D32_DIG_FAST_IN_CCT_6, D32_DIG_FAST_IN_CCT_7, D32_DIG_FAST_IN_CCT_8, D32_DIG_FAST_IN_CCT_9, D32_DIG_FAST_IN_CCT_10, D32_DIG_FAST_IN_CCT_11, D32_DIG_FAST_IN_CCT_12, D32_DIG_FAST_IN_CCT_13",SOT23,BAS70-04,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000114975,0.008212,0.114975,0.000114975,mass-based,
31,10,10,Zener,Discrete Semiconductors,Small Signal,"D33_DIG_FAST_IN_CCT_0, D33_DIG_FAST_IN_CCT_1, D33_DIG_FAST_IN_CCT_2, D33_DIG_FAST_IN_CCT_3, D33_DIG_FAST_IN_CCT_4, D33_DIG_FAST_IN_CCT_5, D33_DIG_FAST_IN_CCT_6, D33_DIG_FAST_IN_CCT_7, D33_DIG_FAST_IN_CCT_8, D33_DIG_FAST_IN_CCT_9, D33_DIG_FAST_IN_CCT_10, D33_DIG_FAST_IN_CCT_11, D33_DIG_FAST_IN_CCT_12, D33_DIG_FAST_IN_CCT_13",SOT23,BZX84-C4V7,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000114975,0.008212,0.114975,0.000114975,mass-based,
34,10,10,Zener,Discrete Semiconductors,Small Signal,D48,SOT23,BZX84C4V7,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
32,11,11,Schottky Rectifier,Discrete Semiconductors,Power,"D38, D39",SOD123FL,DFLS230,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,3.6e-05,0.018,0.036,3.6e-05,mass-based,
33,12,12,Schottky,Discrete Semiconductors,Small Signal,D47,SOT23,BAT54C,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
