Casing,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Ecoinvent_flow,Ecoinvent_unit,Direction,Database
SOD123,Discrete Semiconductors,Small Signal,kg,0.000333,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOD123FL,Discrete Semiconductors,Power,kg,0.000018,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOD523,Discrete Semiconductors,Small Signal,kg,0.0000016,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOIC16,IC,Digital,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,"integrated circuit production, logic type",kg,Input,EcoInvent
SOIC8,IC,Analog,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,"integrated circuit production, logic type",kg,Input,EcoInvent
SOT223,Integrated Circuits (ICs),Analog,kg,0.000112,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
SOT23,Discrete Semiconductors,ESD Protection,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOT23-3,Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOT89,Integrated Circuits (ICs),Analog,kg,0.00019,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
TO-220,IC,Analog,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,"integrated circuit production, logic type",kg,Input,EcoInvent
TO-220-2-V,Discrete Semiconductors,Power,kg,0.0019,YES,,,,,,,,,"transistor production, wired, small size, through-hole mounting",kg,Input,EcoInvent
TO-247,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,EcoInvent
TO-247-2,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,"transistor production, wired, big size, through-hole mounting",kg,Input,EcoInvent
TO-92,IC,Analog,kg,0.000214,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
TSSOP14,Integrated Circuits (ICs),Digital,kg,0.0000572,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
TSSOP16,Integrated Circuits (ICs),Analog,kg,0.000173,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
TSSOP24,Integrated Circuits (ICs),Mixed-Signal,kg,0.00015,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
TSSOP38,Integrated Circuits (ICs),Mixed-Signal,kg,0.0002626,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
UQFN10,Integrated Circuits (ICs),Digital,kg,0.000031,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
VQFN14,Integrated Circuits (ICs),Digital,kg,0.0000322,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
VQFN16,Integrated Circuits (ICs),Digital,kg,0.0000372,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
VSON8,Integrated Circuits (ICs),Digital,kg,0.000024,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
VSSOP10,Integrated Circuits (ICs),Mixed-Signal,kg,0.0000237,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
VSSOP8,Integrated Circuits (ICs),Mixed-Signal,kg,0.0000096,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
