Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
"transport, freight, lorry, >32 metric ton, diesel, EURO 4","transport, freight, lorry, >32 metric ton, diesel, EURO 4 | transport, freight, lorry, >32 metric ton, diesel, EURO 4 | Cutoff, U", d4063070-43dd-3ba9-a00e-e23185c67d68
"transport, freight, sea, ferry, heavy fuel oil","market for transport, freight, sea, ferry, heavy fuel oil | transport, freight, sea, ferry, heavy fuel oil | Cutoff, U",14b8391e-87da-3f5e-ab2e-a3567acf1616
"transport, freight, inland waterways, barge, diesel","market for transport, freight, inland waterways, barge, diesel | transport, freight, inland waterways, barge, diesel | Cutoff, U",8ff07d3c-7286-32b9-ab5e-7eba82c2bd0f
"transport, freight, train, fleet average","market for transport, freight, train, fleet average | transport, freight, train, fleet average | Cutoff, U",d5bce295-b6f8-3b77-85b3-264700e9530e
"electricity, high voltage, renewable energy products","market for electricity, high voltage, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",d570f007-9712-351d-90e7-a05f4029dc48
"electricity, high voltage","market for electricity, high voltage | electricity, high voltage | Cutoff, U",cb4735ea-7d8c-3edc-a215-fd9c85041abc
"glass fibre reinforced plastic, polyamide, injection moulded","glass fibre reinforced plastic production, polyamide, injection moulded | glass fibre reinforced plastic, polyamide, injection moulded | Cutoff, U",94aa086a-17a4-3969-b62a-9e3f10616927
acrylonitrile-butadiene-styrene copolymer,"acrylonitrile-butadiene-styrene copolymer production | acrylonitrile-butadiene-styrene copolymer | Cutoff, U",a6f74811-a095-359f-8e0c-bef7ebfbdee3
ten,"2-butanol production by hydration of butene | 2-butanol | Cutoff, U",140cc8e0-78ce-3f9c-8646-3210c501e796
"cable, unspecified","cable production, unspecified | cable, unspecified | Cutoff, U",1f1dd9e6-3854-3406-ae76-6faa307d4806
"steel, 3.2% silicon alloy, for grain oriented electrical steel","market for steel, 3.2% silicon alloy, for grain oriented electrical steel | steel, 3.2% silicon alloy, for grain oriented electrical steel | Cutoff, U",f3eeca22-b658-37fe-bc41-2fea3ed1a94e
"insulated gate bipolar transistor, electric vehicle application","insulated gate bipolar transistor production, for electric vehicle applications | insulated gate bipolar transistor, electric vehicle application | Cutoff, U",05752997-b19a-3312-a7fc-e5d5c67f3957
4Q_output_control_card,4Q_output_control_card,472a6409-fb23-4f9b-acd3-e1b92250abfb
4Q_output_power_card,4Q_output_power_card,a6b1e58a-423e-45d6-9170-817ea4ad3dcf
4Q_power_card,4Q_power_card,3a73c858-2892-42be-a21e-e4fc69942231
analog_control,analog_control,4be1bd3f-4bb1-4cb9-8254-72ade21a6dd4
contactor_card,contactor_card,136295f7-2b6e-4bc1-a72e-3662cb3e8b12
control_backplane_card,control_backplane_card,32c1b65b-f44f-4df2-951e-68a72bc0a839
digital_control,digital_control,ee141100-8b16-4752-8ee8-b4e96f00b33c
fan_supervision_card,fan_supervision_card,ed894b43-f716-4471-93e1-ebe3d35034d7
filter_card,filter_card,8c98ee00-e18f-4093-985d-d108b34f8058
fuse_card,fuse_card,7ab3d181-f45a-48bd-a27c-51f02c708e5a
HF_Power_Transformer_PM624929,HF_Power_Transformer_PM624929,5a5de861-50a1-43bf-8908-082b0d61360d
inverter_power_card,inverter_power_card,bb8c4832-ee8c-43dd-9eb1-5b747b069cfe
mechanical_components,mechanical_components,78104c74-85c7-4923-babb-f95ea1f51f3b
power_inductor_PM6249,power_inductor_PM6249,1756965e-0248-48dd-b7a0-a1e3d37196de
cabling,cabling,a9f00d69-23ef-459b-aef8-f42bb9caba7b
magnet,"ilmenite - magnetite mine operation | ilmenite, 54% titanium dioxide | Cutoff, U",2576acf0-0a96-3526-b0bf-27c4a390b7ea
connector_system,connector_system,0fdc4ef9-475d-4b22-a15d-2e9a32156daa
S2,transport_code_S2,212398d3-317a-4f0f-b6f7-b819819b8bbc
R1,"lorry production, with refrigeration machine, R134a as refrigerant, 16 metric ton | lorry with refrigeration machine, R134a as refrigerant, 16 metric ton | Cutoff, U",0af58032-963b-3203-9bf7-47c48aa52d8d
R3,"cement production, Portland SR3 | cement, Portland SR3 | Cutoff, U",bfd8f5f8-8891-3506-8701-34222cb85794
S1,"fluorescent whitening agent production, DAS1, triazinylaminostilben type | fluorescent whitening agent, DAS1, triazinylaminostilben type | Cutoff, U",f828b778-ce61-3378-a8a3-22ef7bd167d8
P2,"inorganic phosphorus, as P2O5 to generic market for organic phosphorus, as P2O5 | organic phosphorus fertiliser, as P2O5 | Cutoff, U",030cc00d-38f1-3f01-aa72-5c68c01c92da
P1,transport_code_P1,a16aeb3c-3949-4665-827e-4716058f1d6f
R2,transport_code_R2,f3e9252a-784e-4306-98a0-a10c181039c9
connector_system_transport,connector_system_transport,0c32ca08-5cc5-4609-a94b-09351dbcb8bf
magnet_transport,magnet_transport,f8b0ec91-9268-41c1-af50-03a0d49a8bf1
mexico_transport,mexico_transport,832daedc-8a1c-4365-8c41-5671723fcf57
