Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Density_used_g_cm3,Density_source,Validation_error,Subsystem
"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",0402,Passives,Capacitors,kg,kg,6.5e-06,6.5e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,47pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,4,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,9,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C19_ANA_CAL_0, C19_ANA_CAL_1",0402,Passives,Capacitors,kg,kg,3.25e-06,3.25e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_330PF_50V_5%_C0G,330pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,10,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C20_ANA_CAL_0, C20_ANA_CAL_1",0402,Passives,Capacitors,kg,kg,3.25e-06,3.25e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_220PF_50V_5%_C0G,220pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,11,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C21_ANA_CAL_0, C21_ANA_CAL_1",0402,Passives,Capacitors,kg,kg,3.25e-06,3.25e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_1.5NF_50V_5%_C0G,1.5nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,12,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C22_ANA_CAL_0, C22_ANA_CAL_1",0402,Passives,Capacitors,kg,kg,3.25e-06,3.25e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_1NF_50V_5%_C0G,1nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,13,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",1210,Passives,Capacitors,kg,kg,0.00039,0.00039,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1210_47UF_10V_10%_X7R,47µF ±10% 10V X7R SMD Multilayer Chip Ceramic Capacitor,3,0.00013,NO,3.2,2.5,2.5,,6,7,0,0,EcoInvent,Input,Caing,14,2,2,CALCULATED,0.02,6.5,MIN_MAX_AVG,,analog_control
"C67, C68, C79, C81, C150, C153",0805,Passives,Capacitors,kg,kg,7.8e-05,7.8e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0805_100NF_50V_1%_NP0,100nF ±1% 50V NP0 SMD Multilayer Chip Ceramic Capacitor,6,1.3e-05,NO,2.0,1.25,0.8,,6,7,0,0,EcoInvent,Input,Generic 0805,16,2,2,CALCULATED,0.002,6.5,MIN_MAX_AVG,,analog_control
"C114_ADC_1, C114_ADC_2, C114_ADC_3, C114_ADC_4, C114_ADC_5, C114_ADC_6, C115_ADC_1, C115_ADC_2, C115_ADC_3, C115_ADC_4, C115_ADC_5, C115_ADC_6, C118_ADC_1, C118_ADC_2, C118_ADC_3, C118_ADC_4, C118_ADC_5, C118_ADC_6, C119_ADC_1, C119_ADC_2, C119_ADC_3, C119_ADC_4, C119_ADC_5, C119_ADC_6, C122_ADC_1, C122_ADC_2, C122_ADC_3, C122_ADC_4, C122_ADC_5, C122_ADC_6, C123_ADC_1, C123_ADC_2, C123_ADC_3, C123_ADC_4, C123_ADC_5, C123_ADC_6, C126_ADC_1, C126_ADC_2, C126_ADC_3, C126_ADC_4, C126_ADC_5, C126_ADC_6, C127_ADC_1, C127_ADC_2, C127_ADC_3, C127_ADC_4, C127_ADC_5, C127_ADC_6, C130_ADC_1, C130_ADC_2, C130_ADC_3, C130_ADC_4, C130_ADC_5, C130_ADC_6, C131_ADC_1, C131_ADC_2, C131_ADC_3, C131_ADC_4, C131_ADC_5, C131_ADC_6, C134_ADC_1, C134_ADC_2, C134_ADC_3, C134_ADC_4, C134_ADC_5, C134_ADC_6, C135_ADC_1, C135_ADC_2, C135_ADC_3, C135_ADC_4, C135_ADC_5, C135_ADC_6, C138_ADC_1, C138_ADC_2, C138_ADC_3, C138_ADC_4, C138_ADC_5, C138_ADC_6, C139_ADC_1, C139_ADC_2, C139_ADC_3, C139_ADC_4, C139_ADC_5, C139_ADC_6, C142_ADC_1, C142_ADC_2, C142_ADC_3, C142_ADC_4, C142_ADC_5, C142_ADC_6, C143_ADC_1, C143_ADC_2, C143_ADC_3, C143_ADC_4, C143_ADC_5, C143_ADC_6, C210, C211",0402,Passives,Capacitors,kg,kg,0.00015925,0.00015925,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_680PF_50V_1%_C0G,680pF ±1% 50V C0G SMD Multilayer Chip Ceramic Capacitor,98,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC mass 1.6 mg.,17,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
C177,0402,Passives,Capacitors,kg,kg,1.625e-06,1.625e-06,"capacitor production, for surface-mounting",MLCC,GENERIC,CC0402_10PF_50V_5%_C0G,10pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,1,1.625e-06,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,Input,Generic 0402 MLCC.,18,2,2,CALCULATED,0.00025,6.5,MIN_MAX_AVG,,analog_control
"C66, C69, C70, C147, C162",E,Passives,Capacitors,kg,kg,0.0035392225,0.0035392225,"capacitor production, electrolyte type, < 2cm height",Tantalum,GENERIC,CTE7343-43_100UF_25V_10%_LESR0150,100µF ±10% 25V Low ESR Solid Tantalum Chip Capacitor,5,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,0,EcoInvent,Input,Caing,15,3,3,CALCULATED,0.128699,5.5,MIN_MAX_AVG,,analog_control
"D1, D2",SOT23-3,Discrete Semiconductors,Small signal,kg,kg,9.432e-06,9.432e-06,"diode production, glass-, for surface-mounting",Dual Diode,Nexperia,BAV99,75V 250mW Dual Series Switching Diode,2,4.716e-06,NO,2.9,1.3,1.0,,1.2,1.3,0.0000035,0,EcoInvent,Input,Mass from SOT23‑3 casing (8.2 mg). BAV99 is a dual diode in SOT23‑3.,19,4,4,CALCULATED,0.00377,1.25,MIN_MAX_AVG,,analog_control
"D3, D4, D5, D8, D9",DO-214AC,Discrete Semiconductors,Small signal,kg,kg,0.0006,0.0006,"diode production, glass-, for surface-mounting",Schottky,DIODES INC.,SS16,60V 1A Surface Mount Schottky Rectifier,5,0.00012,YES,,,,,,,,,EcoInvent,Input,Mass from DO‑214AC (SMA) typical 0.12 g. SS16 is a Schottky diode in SMA package.,20,5,5,DATASHEET_QTY_KG,,,MISSING,,analog_control
"D6, D10, D11",0402,Discrete Semiconductors,Small signal,kg,kg,4.2e-06,4.2e-06,"diode production, glass-, for surface-mounting",ESD Protection,TEXAS INSTRUMENTS,0402ESDA-MLP,0.05pF 8kV Bidirectional ESD Voltage Suppressor,3,1.4e-06,YES,1.0,0.5,0.5,,1.2,1.3,0.0000002,0,EcoInvent,Input,Mass estimated from 0402 package (1.6 mg). Plastic SMD diode with copper leads.,21,6,6,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
D12,SOD-323-2,Discrete Semiconductors,Small signal,kg,kg,1e-05,1e-05,"diode production, glass-, for surface-mounting",Zener,ONSEMI,MM3Z3V6T1G,3.6V 200mW Zener Voltage Regulator,1,1e-05,YES,,,,,,,,,EcoInvent,Input,,22,7,7,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC1_ADC_1, IC1_ADC_2, IC1_ADC_3, IC1_ADC_4, IC1_ADC_5, IC1_ADC_6, IC3_ADC_1, IC3_ADC_2, IC3_ADC_3, IC3_ADC_4, IC3_ADC_5, IC3_ADC_6, IC4_ADC_1, IC4_ADC_2, IC4_ADC_3, IC4_ADC_4, IC4_ADC_5, IC4_ADC_6",VQFN-20,IC,Digital,kg,kg,0.000774,0.000774,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74AUC245RGYR,"8-ch, 0.8-V to 2.7-V high speed buffers with 3-state outputs",18,4.3e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74AUC245RGYR?qs=0kuPHEOuoRTOR7HjtNv3EQ%3D%3D,24,8,9,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC8_ANA_CAL_0, IC8_ANA_CAL_1, IC10_ANA_CAL_0, IC10_ANA_CAL_1, IC20, IC21",SM-8,IC,Digital,kg,kg,0.0001404,0.0001404,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74AVC2T45DCT,Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation,6,2.34e-05,YES,,,,,,,,0,EcoInvent,Input,,29,8,9,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC12, IC14, IC25, IC28, IC29",VSSOP-8,IC,Digital,kg,kg,5e-05,5e-05,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LVC2T45DCU,Dual-Bit Dual-Supply Bus Transceiver,5,1e-05,YES,,,,,,,,0,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC2T45DCURE4?qs=0smPjiIwnfLuS8KHnlVgZw%3D%3D,32,8,9,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC16, IC27",TSSOP-14,IC,Digital,kg,kg,6.5e-05,6.5e-05,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74ALVC32PW,Quad 2-Input OR Gate,2,3.25e-05,YES,5.0,4.4,1.0,,1.2,1.3,0.000005,0,EcoInvent,Input,Mass from TSSOP‑14 package. Same as OPA4192.,34,8,9,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
"IC2_ADC_1, IC2_ADC_2, IC2_ADC_3, IC2_ADC_4, IC2_ADC_5, IC2_ADC_6",BGA-64,IC,Mixed-Signal,kg,kg,0.00052191,0.00052191,"integrated circuit production, logic type",Data Acquisition,ANALOG DEVICES,AD4857BBC,"8-Channel Simultaneous Sampling, 16-Bit 1 MSPS DAS",6,8.6985e-05,NO,7,7,1.42,,1.2,1.3,0.00001,,EcoInvent,Input,Dimmensions,25,9,10,CALCULATED,0.06958,1.25,MIN_MAX_AVG,,analog_control
"IC5_ANA_CAL_0, IC5_ANA_CAL_1, IC13, IC30_ANA_CAL_0, IC30_ANA_CAL_1, IC39",MSOP-8,IC,Analog,kg,kg,0.00084,0.00084,"integrated circuit production, logic type",Amplifier,ANALOG DEVICES,AD8672ARM,Dual Operational Amplifier,6,0.00014,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/AD8672ARMZ-REEL?qs=%2FtpEQrCGXCwmHEbuIHrFtA%3D%3D,26,10,11,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC6_ANA_CAL_0, IC6_ANA_CAL_1",SOIC8,IC,Analog,kg,kg,8.0262e-05,8.0262e-05,"integrated circuit production, logic type",Amplifier,TEXAS INSTRUMENTS,THS4531ID,Differential Amplifier,2,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,Input,Mass from SOIC‑8 package,27,10,11,CALCULATED,0.0334425,1.2,MIN_MAX_AVG,,analog_control
IC11,TSSOP-14,IC,Analog,kg,kg,5.74e-05,5.74e-05,"integrated circuit production, logic type",Amplifier,TEXAS INSTRUMENTS,OPA4192IPW,Quad Operational Amplifier,1,5.74e-05,YES,,,,,,,,0,EcoInvent,Input,Mass from TSSOP‑14 package (5×4.4×1.0 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 32.5 mg. OPA4192IPW datasheet.,31,10,11,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC17, IC18",VSSOP-8,IC,Analog,kg,kg,2.32e-05,2.32e-05,"integrated circuit production, logic type",Amplifier,ANALOG DEVICES,ADA4522-2ARMZ,Dual Operational Amplifier,2,1.16e-05,YES,3.0,3.0,0.85,,1.2,1.3,0.000002,0,EcoInvent,Input,"Mass from VSSOP‑8 package, same as AD8672ARM.",35,10,11,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
"IC23, IC36, IC41",MSOP-8,IC,Analog,kg,kg,0.00042,0.00042,"integrated circuit production, logic type",Amplifier,TEXAS INSTRUMENTS,OPA2192IDGK,Dual Operational Amplifier,3,0.00014,YES,,,,,,,,,EcoInvent,Input,Mass from MSOP‑8 package (3×3×0.85 mm) – 11.6 mg.,38,10,11,DATASHEET_QTY_KG,,,MISSING,,analog_control
"IC7_ANA_CAL_0, IC7_ANA_CAL_1",SOIC16,IC,Analog,kg,kg,0.000370625,0.000370625,"integrated circuit production, logic type",Switch,ANALOG DEVICES,DG412DY+,Quad SPST CMOS Analog Switches,2,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,Input,Mass from SOIC‑16,28,11,12,CALCULATED,0.06825,1.25,MIN_MAX_AVG,,analog_control
"IC9_ANA_CAL_0, IC9_ANA_CAL_1",MSOP-16,IC,Mixed-Signal,kg,kg,0.000686,0.000686,"integrated circuit production, logic type",ADC,LINEAR TECHNOLOGY,LTC2378CMS-20,"20-Bit, 1Msps, Low Power SAR ADC",2,0.000343,YES,,,,,,,,,EcoInvent,Input,mass from casing,30,12,13,DATASHEET_QTY_KG,,,MISSING,,analog_control
IC15,SOIC-14,IC,Mixed-Signal,kg,kg,0.000174,0.000174,"integrated circuit production, logic type",DAC,MAXIM INTEGRATED,MAX5719AGSD+,"20-Bit, Serial-Input, Voltage Output DAC",1,0.000174,YES,8.65,3.9,1.75,,1.2,1.3,0.0001,0,EcoInvent,Input,Mass from SOIC‑14 wide package (8.65×3.9×1.75 mm) volume × 1.25 g/cm³ + metal_extra 100 mg ≈ 174 mg. MAX5719AGSD+ datasheet.,33,13,14,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
IC19,QFN-33,IC,Analog,kg,kg,3e-05,3e-05,"integrated circuit production, logic type",Multiplexer,ANALOG DEVICES,ADG1407BCP,"9.5 Ω RON, 16-Channel, Differential 8-Channel iCMOS Multiplexers",1,3e-05,YES,5.0,5.0,0.8,,1.2,1.3,0.000005,0,EcoInvent,Input,Mass from QFN‑33 package (5×5×0.8 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 30 mg. ADG1407BCP datasheet.,36,14,15,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
"IC22, IC33",MSOP-8,IC,Analog,kg,kg,0.00028,0.00028,"integrated circuit production, logic type",Power Management,TEXAS INSTRUMENTS,TPS7A4901DGN,"+36V, +150mA, Ultralow-Noise, Positive Linear Regulator",2,0.00014,YES,,,,,,,,,EcoInvent,Input,Mass from MSOP‑8 package with exposed pad (3×3×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 12 mg. TPS7A4901DGN datasheet.,37,15,16,DATASHEET_QTY_KG,,,MISSING,,analog_control
IC32,MSOP-16,IC,Analog,kg,kg,0.000343,0.000343,"integrated circuit production, logic type",Power Management,LINEAR TECHNOLOGY,LT8610EMSE,"42V, 2.5A Synchronous Step-Down Regulator",1,0.000343,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LT8610EMSEPBF?qs=hVkxg5c3xu%252B%252BFvD8yUlxUw%3D%3D,41,15,16,DATASHEET_QTY_KG,,,MISSING,,analog_control
IC24,SOT23-3,IC,Analog,kg,kg,8.2e-06,8.2e-06,"integrated circuit production, logic type",Reference,TEXAS INSTRUMENTS,TL431ACL3T,Precision Reference,1,8.2e-06,YES,2.9,1.3,1.0,0.00377,1.2,1.3,0.0000035,0,EcoInvent,Input,Mass from SOT23‑3 package (8.2 mg).,39,16,17,DATASHEET_QTY_KG,,1.25,MIN_MAX_AVG,,analog_control
"IC26, IC31",SOT23-5,IC,Analog,kg,kg,1.6425e-05,1.6425e-05,"integrated circuit production, logic type",Comparator,TEXAS INSTRUMENTS,TL331IDBVT,Single Voltage Comparator,2,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,0,EcoInvent,Input,mass from casing,40,17,18,CALCULATED,0.00377,1.25,MIN_MAX_AVG,,analog_control
IC34,TSSOP-8,IC,Analog,kg,kg,2.355e-05,2.355e-05,"integrated circuit production, logic type",Sensor,NXP,PCT2075DP,"Ultra Low Power, 1.8V, 1°C Accuracy Digital Temperature Sensor",1,2.355e-05,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.mouser.ch/ProductDetail/NXP-Semiconductors/PCT2075DP118?qs=lH1ILECabYlwLBLKMiotHw%3D%3D,42,18,19,DATASHEET_QTY_KG,,,MISSING,,analog_control
IC35,SOT23-6,IC,Memory,kg,kg,8.2125e-06,8.2125e-06,"integrated circuit production, logic type",EEPROM,MICROCHIP,24AA025E48T-I/OT,"1.7V-5.5V, 2K I2C Serial EEPROM",1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,Mass from SOT23‑6 package (2.9×1.6×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 8.4 mg.,43,19,20,CALCULATED,0.00377,1.25,MIN_MAX_AVG,,analog_control
IC37,SOIC-8,IC,Mixed-Signal,kg,kg,4.0131e-05,4.0131e-05,"integrated circuit production, logic type",Isolator,TEXAS INSTRUMENTS,ISO1541D,Low-Power Bi-Directional I2C Isolator,1,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,Input,mass from casing,44,20,21,CALCULATED,0.0334425,1.2,MIN_MAX_AVG,,analog_control
IC38,,IC,Digital,kg,kg,2.57e-05,2.57e-05,"integrated circuit production, logic type",IO Expander,TEXAS INSTRUMENTS,TCA6424ARGJ,24-bit I2C and SMBus I/O Expander,1,2.57e-05,YES,,,,,,,,0,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TCA6424ARGJR?qs=Ze4%2FuFuz19LzqLgNFpYqlQ%3D%3D,45,21,22,DATASHEET_QTY_KG,,,MISSING,,analog_control
IC40,VQFN-16,IC,Mixed-Signal,kg,kg,5e-05,5e-05,"integrated circuit production, logic type",Power Monitor,TEXAS INSTRUMENTS,INA3221AIRGV,"Triple-Channel, High-Side Measurement, Shunt and Bus Voltage Monitor",1,5e-05,YES,,,,,,,,,EcoInvent,Input,Mass from QFN‑17 package (4×4×0.9 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 23 mg. INA3221AIRGV datasheet.,46,22,23,DATASHEET_QTY_KG,,,MISSING,,analog_control
J1,,Electromechanical,Connectors,kg,kg,0.0015,0.0015,"electric connector production, peripheral type buss",FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,0.0015,YES,,,,,,,,,EcoInvent,Input,,48,23,25,DATASHEET_QTY_KG,,,MISSING,,analog_control
J2,,Electromechanical,Connectors,kg,kg,0.0005,0.0005,"electric connector production, peripheral type buss",FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,0.0005,YES,,,,,,,,,EcoInvent,Input,,49,23,25,DATASHEET_QTY_KG,,,MISSING,,analog_control
J3,,Electromechanical,Connectors,kg,kg,0.000279,0.000279,"electric connector production, wire clamp",PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,0.000279,YES,,,,,,,,,EcoInvent,Input,Mass estimated (~1g).,50,24,26,DATASHEET_QTY_KG,,,MISSING,,analog_control
J4,,Electromechanical,Connectors,kg,kg,8.783064e-05,8.783064e-05,"electric connector production, wire clamp",Pin Header,SAMTEC,FTS-111-03-L-D,"22-position, 2.54mm pitch, Surface Mount Header",1,8.783064e-05,NO,14,3.42,1.27,,1.3,1.5,0.0027,0,EcoInvent,Input,from measurements and stimation,51,25,27,CALCULATED,0.0608076,1.4,MIN_MAX_AVG,,analog_control
J5,,Electromechanical,Connectors,kg,kg,0.015169,0.015169,"electric connector production, peripheral type buss",Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls",1,0.015169,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D,52,26,28,DATASHEET_QTY_KG,,,MISSING,,analog_control
J6,,Electromechanical,Connectors,kg,kg,0.015336,0.015336,"electric connector production, peripheral type buss",Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls",1,0.015336,YES,,,,,,,,0,EcoInvent,Input,mass: https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D,53,26,28,DATASHEET_QTY_KG,,,MISSING,,analog_control
J7,,Electromechanical,Connectors,kg,kg,0.0084,0.0084,"electric connector production, peripheral type buss",D-Sub,TE CONNECTIVITY,2311763-2,High Density D-sub 15 Position Female,1,0.0084,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/2311763-2?qs=rrS6PyfT74dmXtBEPHOmlA%3D%3D,54,27,29,DATASHEET_QTY_KG,,,MISSING,,analog_control
"L1_ADC_1, L1_ADC_2, L1_ADC_3, L1_ADC_4, L1_ADC_5, L1_ADC_6, L3_ADC_1, L3_ADC_2, L3_ADC_3, L3_ADC_4, L3_ADC_5, L3_ADC_6, L7_ADC_1, L7_ADC_2, L7_ADC_3, L7_ADC_4, L7_ADC_5, L7_ADC_6, L8_ADC_1, L8_ADC_2, L8_ADC_3, L8_ADC_4, L8_ADC_5, L8_ADC_6, L9_ADC_1, L9_ADC_2, L9_ADC_3, L9_ADC_4, L9_ADC_5, L9_ADC_6, L10_ADC_1, L10_ADC_2, L10_ADC_3, L10_ADC_4, L10_ADC_5, L10_ADC_6, L11_ADC_1, L11_ADC_2, L11_ADC_3, L11_ADC_4, L11_ADC_5, L11_ADC_6, L12_ADC_1, L12_ADC_2, L12_ADC_3, L12_ADC_4, L12_ADC_5, L12_ADC_6",0805,Passives,Inductors,kg,kg,0.00048,0.00048,"inductor production, low value multilayer chip",Common Mode Choke,TDK,ACM2012-202-2P,"Common Mode Filter, 2000Ω@100MHz, 300mA, 2.0x1.25mm",48,1e-05,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,Input,from casing,55,28,30,CALCULATED,0.002,5.0,MIN_MAX_AVG,,analog_control
"L5_ANA_CAL_0, L5_ANA_CAL_1",,Passives,Inductors,kg,kg,0.000936,0.000936,"inductor production, ring core choke type",Common Mode Choke,WÜRTH ELEKTRONIK,744226,"2×10µH Common Mode Choke, WE‑SL2",2,0.000468,YES,,,,,,,,,EcoInvent,Input,https://uk.farnell.com/wurth-elektronik/744226/line-filter-smd-common-mode-2x10uh/dp/1636269,58,28,30,DATASHEET_QTY_KG,,,MISSING,,analog_control
L14,0805,Passives,Inductors,kg,kg,1e-05,1e-05,"inductor production, low value multilayer chip",Common Mode Choke,TDK,ACM2012-361-2P,"Common Mode Filter, 360Ω@100MHz, 300mA, 2.0x1.25mm",1,1e-05,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,Input,Same dimensions and mass as L1_ADC_* (12 mg).,59,28,30,CALCULATED,0.002,5.0,MIN_MAX_AVG,,analog_control
"L2, L13",2220,Passives,Inductors,kg,kg,0.00096,0.00096,"inductor production, ring core choke type",Power Inductor,EPCOS,B82442H1103K,"100µH, ±10%, 2220 SMD Inductor",2,0.00048,YES,,,,,,,,0,EcoInvent,Input,https://www.mouser.ch/ProductDetail/EPCOS-TDK/B82442H1103K?qs=%2FkiEPUfD%2FqkxUPf%2Fl938Cg%3D%3D,56,29,31,DATASHEET_QTY_KG,,,MISSING,,analog_control
"L4_ANA_CAL_0, L4_ANA_CAL_1, L6_ANA_CAL_0, L6_ANA_CAL_1",1210,Passives,Inductors,kg,kg,0.00027896232,0.00027896232,"inductor production, ring core choke type",Power Inductor,MURATA,LQH32CN331K23,"330µH, ±10%, 1210 SMD Inductor",4,6.974058e-05,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,Input,mass from casing,57,29,31,CALCULATED,0.01072932,6.5,MIN_MAX_AVG,,analog_control
"L15, L17, L19",,Passives,Inductors,kg,kg,0.000945,0.000945,"inductor production, ring core choke type",Power Inductor,WÜRTH ELEKTRONIK,74408943100,"10µH, ±20%, WE‑SPC SMD Power Inductor",3,0.000315,YES,,,,,,,,0,EcoInvent,Input,Mass from volume (4.8×4.8×3.8 mm) × 5 g/cm³ ≈ 0.44 g. Würth 74408943100 datasheet.,60,29,31,DATASHEET_QTY_KG,,,MISSING,,analog_control
L18,,Passives,Inductors,kg,kg,6e-05,6e-05,"inductor production, low value multilayer chip",Power Inductor,MURATA,IND_4.7UH_20%_MURATA-PS_8200,"4.7µH, ±20%, 2.5×2.0×1.5mm Inductor",1,6e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.de/ProductDetail/Murata-Power-Solutions/82472C?qs=5CKLVr1iF0mqQyDveQwIEg%3D%3D,61,29,31,DATASHEET_QTY_KG,,,MISSING,,analog_control
"P1_ANA_CAL_0, P1_ANA_CAL_1, P2_ANA_CAL_0, P2_ANA_CAL_1",,Passives,Resistors,kg,kg,0.0008,0.0008,"electronic component, passive, unspecified",Trimmer,BOURNS,3224X-1-200E,"20Ω, 12‑turn, 4.8×3.8×2.5mm SMD Trimming Potentiometer",4,0.0002,YES,,,,,,,,0,EcoInvent,Input,https://www.mouser.de/ProductDetail/Bourns/3224X-1-200E?qs=SMQt91Li6bUlKocAhGVO%252Bw%3D%3D,62,30,32,DATASHEET_QTY_KG,,,MISSING,,analog_control
R1,0402,Passives,Resistors,kg,kg,8.125e-07,8.125e-07,"resistor production, surface-mounted",Thin Film,GENERIC,R0402_31K6_0.1%_0.063W_25PPM,31.6kΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,1,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,Mass from generic 0402 resistor.,63,31,33,CALCULATED,0.000175,3.5,MIN_MAX_AVG,,analog_control
