Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Total_mass_kg,Formula_basis,Validation_error
6,2,2,MLCC,Passives,Capacitors,"C10, C12_ANA_CAL_0, C12_ANA_CAL_1, C13_ANA_CAL_0, C13_ANA_CAL_1, C14, C17, C47, C52, C62, C63, C65, C89, C90, C96, C97, C105, C107, C151, C158, C160, C181, C191, C192, C209",0603,CC0603_10NF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.0001664,0.0001664,mass-based,
7,2,2,MLCC,Passives,Capacitors,"C15_ANA_CAL_0, C15_ANA_CAL_1, C27_ANA_CAL_0, C27_ANA_CAL_1, C53, C106, C193",0402,CC0402_100PF_25V_1%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.1375e-05,1.1375e-05,mass-based,
8,2,2,MLCC,Passives,Capacitors,"C16_ANA_CAL_0, C16_ANA_CAL_1, C25_ANA_CAL_0, C25_ANA_CAL_1, C78, C80, C82, C113_ADC_1, C113_ADC_2, C113_ADC_3, C113_ADC_4, C113_ADC_5, C113_ADC_6, C116_ADC_1, C116_ADC_2, C116_ADC_3, C116_ADC_4, C116_ADC_5, C116_ADC_6, C117_ADC_1, C117_ADC_2, C117_ADC_3, C117_ADC_4, C117_ADC_5, C117_ADC_6, C120_ADC_1, C120_ADC_2, C120_ADC_3, C120_ADC_4, C120_ADC_5, C120_ADC_6, C121_ADC_1, C121_ADC_2, C121_ADC_3, C121_ADC_4, C121_ADC_5, C121_ADC_6, C124_ADC_1, C124_ADC_2, C124_ADC_3, C124_ADC_4, C124_ADC_5, C124_ADC_6, C125_ADC_1, C125_ADC_2, C125_ADC_3, C125_ADC_4, C125_ADC_5, C125_ADC_6, C128_ADC_1, C128_ADC_2, C128_ADC_3, C128_ADC_4, C128_ADC_5, C128_ADC_6, C129_ADC_1, C129_ADC_2, C129_ADC_3, C129_ADC_4, C129_ADC_5, C129_ADC_6, C132_ADC_1, C132_ADC_2, C132_ADC_3, C132_ADC_4, C132_ADC_5, C132_ADC_6, C133_ADC_1, C133_ADC_2, C133_ADC_3, C133_ADC_4, C133_ADC_5, C133_ADC_6, C136_ADC_1, C136_ADC_2, C136_ADC_3, C136_ADC_4, C136_ADC_5, C136_ADC_6, C137_ADC_1, C137_ADC_2, C137_ADC_3, C137_ADC_4, C137_ADC_5, C137_ADC_6, C140_ADC_1, C140_ADC_2, C140_ADC_3, C140_ADC_4, C140_ADC_5, C140_ADC_6, C141_ADC_1, C141_ADC_2, C141_ADC_3, C141_ADC_4, C141_ADC_5, C141_ADC_6, C144_ADC_1, C144_ADC_2, C144_ADC_3, C144_ADC_4, C144_ADC_5, C144_ADC_6, C148, C152",0402,CC0402_33PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000170625,0.000170625,mass-based,
9,2,2,MLCC,Passives,Capacitors,"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",0402,CC0402_47PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,6.5e-06,6.5e-06,mass-based,
10,2,2,MLCC,Passives,Capacitors,"C19_ANA_CAL_0, C19_ANA_CAL_1",0402,CC0402_330PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,3.25e-06,mass-based,
11,2,2,MLCC,Passives,Capacitors,"C20_ANA_CAL_0, C20_ANA_CAL_1",0402,CC0402_220PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,3.25e-06,mass-based,
12,2,2,MLCC,Passives,Capacitors,"C21_ANA_CAL_0, C21_ANA_CAL_1",0402,CC0402_1.5NF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,3.25e-06,mass-based,
13,2,2,MLCC,Passives,Capacitors,"C22_ANA_CAL_0, C22_ANA_CAL_1",0402,CC0402_1NF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,3.25e-06,mass-based,
14,2,2,MLCC,Passives,Capacitors,"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",1210,CC1210_47UF_10V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.00039,0.00039,mass-based,
16,2,2,MLCC,Passives,Capacitors,"C67, C68, C79, C81, C150, C153",0805,CC0805_100NF_50V_1%_NP0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,7.8e-05,7.8e-05,mass-based,
17,2,2,MLCC,Passives,Capacitors,"C114_ADC_1, C114_ADC_2, C114_ADC_3, C114_ADC_4, C114_ADC_5, C114_ADC_6, C115_ADC_1, C115_ADC_2, C115_ADC_3, C115_ADC_4, C115_ADC_5, C115_ADC_6, C118_ADC_1, C118_ADC_2, C118_ADC_3, C118_ADC_4, C118_ADC_5, C118_ADC_6, C119_ADC_1, C119_ADC_2, C119_ADC_3, C119_ADC_4, C119_ADC_5, C119_ADC_6, C122_ADC_1, C122_ADC_2, C122_ADC_3, C122_ADC_4, C122_ADC_5, C122_ADC_6, C123_ADC_1, C123_ADC_2, C123_ADC_3, C123_ADC_4, C123_ADC_5, C123_ADC_6, C126_ADC_1, C126_ADC_2, C126_ADC_3, C126_ADC_4, C126_ADC_5, C126_ADC_6, C127_ADC_1, C127_ADC_2, C127_ADC_3, C127_ADC_4, C127_ADC_5, C127_ADC_6, C130_ADC_1, C130_ADC_2, C130_ADC_3, C130_ADC_4, C130_ADC_5, C130_ADC_6, C131_ADC_1, C131_ADC_2, C131_ADC_3, C131_ADC_4, C131_ADC_5, C131_ADC_6, C134_ADC_1, C134_ADC_2, C134_ADC_3, C134_ADC_4, C134_ADC_5, C134_ADC_6, C135_ADC_1, C135_ADC_2, C135_ADC_3, C135_ADC_4, C135_ADC_5, C135_ADC_6, C138_ADC_1, C138_ADC_2, C138_ADC_3, C138_ADC_4, C138_ADC_5, C138_ADC_6, C139_ADC_1, C139_ADC_2, C139_ADC_3, C139_ADC_4, C139_ADC_5, C139_ADC_6, C142_ADC_1, C142_ADC_2, C142_ADC_3, C142_ADC_4, C142_ADC_5, C142_ADC_6, C143_ADC_1, C143_ADC_2, C143_ADC_3, C143_ADC_4, C143_ADC_5, C143_ADC_6, C210, C211",0402,CC0402_680PF_50V_1%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.00015925,0.00015925,mass-based,
18,2,2,MLCC,Passives,Capacitors,C177,0402,CC0402_10PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,1.625e-06,1.625e-06,mass-based,
15,3,3,Tantalum,Passives,Capacitors,"C66, C69, C70, C147, C162",E,CTE7343-43_100UF_25V_10%_LESR0150,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.0035392225,0.0035392225,mass-based,
19,4,4,Dual Diode,Discrete Semiconductors,Small signal,"D1, D2",SOT23-3,BAV99,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,9.432e-06,9.432e-06,mass-based,
20,5,5,Schottky,Discrete Semiconductors,Small signal,"D3, D4, D5, D8, D9",DO-214AC,SS16,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.0006,0.0006,mass-based,
21,6,6,ESD Protection,Discrete Semiconductors,Small signal,"D6, D10, D11",0402,0402ESDA-MLP,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,4.2e-06,4.2e-06,mass-based,
22,7,7,Zener,Discrete Semiconductors,Small signal,D12,SOD-323-2,MM3Z3V6T1G,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,1e-05,1e-05,mass-based,
24,8,9,Logic,IC,Digital,"IC1_ADC_1, IC1_ADC_2, IC1_ADC_3, IC1_ADC_4, IC1_ADC_5, IC1_ADC_6, IC3_ADC_1, IC3_ADC_2, IC3_ADC_3, IC3_ADC_4, IC3_ADC_5, IC3_ADC_6, IC4_ADC_1, IC4_ADC_2, IC4_ADC_3, IC4_ADC_4, IC4_ADC_5, IC4_ADC_6",VQFN-20,SN74AUC245RGYR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000774,0.000774,mass-based,
29,8,9,Logic,IC,Digital,"IC8_ANA_CAL_0, IC8_ANA_CAL_1, IC10_ANA_CAL_0, IC10_ANA_CAL_1, IC20, IC21",SM-8,SN74AVC2T45DCT,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001404,0.0001404,mass-based,
32,8,9,Logic,IC,Digital,"IC12, IC14, IC25, IC28, IC29",VSSOP-8,SN74LVC2T45DCU,EcoInvent,"integrated circuit production, logic type",kg,Input,5e-05,5e-05,mass-based,
34,8,9,Logic,IC,Digital,"IC16, IC27",TSSOP-14,SN74ALVC32PW,EcoInvent,"integrated circuit production, logic type",kg,Input,6.5e-05,6.5e-05,mass-based,
25,9,10,Data Acquisition,IC,Mixed-Signal,"IC2_ADC_1, IC2_ADC_2, IC2_ADC_3, IC2_ADC_4, IC2_ADC_5, IC2_ADC_6",BGA-64,AD4857BBC,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00052191,0.00052191,mass-based,
26,10,11,Amplifier,IC,Analog,"IC5_ANA_CAL_0, IC5_ANA_CAL_1, IC13, IC30_ANA_CAL_0, IC30_ANA_CAL_1, IC39",MSOP-8,AD8672ARM,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00084,0.00084,mass-based,
27,10,11,Amplifier,IC,Analog,"IC6_ANA_CAL_0, IC6_ANA_CAL_1",SOIC8,THS4531ID,EcoInvent,"integrated circuit production, logic type",kg,Input,8.0262e-05,8.0262e-05,mass-based,
31,10,11,Amplifier,IC,Analog,IC11,TSSOP-14,OPA4192IPW,EcoInvent,"integrated circuit production, logic type",kg,Input,5.74e-05,5.74e-05,mass-based,
35,10,11,Amplifier,IC,Analog,"IC17, IC18",VSSOP-8,ADA4522-2ARMZ,EcoInvent,"integrated circuit production, logic type",kg,Input,2.32e-05,2.32e-05,mass-based,
38,10,11,Amplifier,IC,Analog,"IC23, IC36, IC41",MSOP-8,OPA2192IDGK,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00042,0.00042,mass-based,
28,11,12,Switch,IC,Analog,"IC7_ANA_CAL_0, IC7_ANA_CAL_1",SOIC16,DG412DY+,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000370625,0.000370625,mass-based,
30,12,13,ADC,IC,Mixed-Signal,"IC9_ANA_CAL_0, IC9_ANA_CAL_1",MSOP-16,LTC2378CMS-20,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000686,0.000686,mass-based,
33,13,14,DAC,IC,Mixed-Signal,IC15,SOIC-14,MAX5719AGSD+,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000174,0.000174,mass-based,
36,14,15,Multiplexer,IC,Analog,IC19,QFN-33,ADG1407BCP,EcoInvent,"integrated circuit production, logic type",kg,Input,3e-05,3e-05,mass-based,
37,15,16,Power Management,IC,Analog,"IC22, IC33",MSOP-8,TPS7A4901DGN,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00028,0.00028,mass-based,
41,15,16,Power Management,IC,Analog,IC32,MSOP-16,LT8610EMSE,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000343,0.000343,mass-based,
39,16,17,Reference,IC,Analog,IC24,SOT23-3,TL431ACL3T,EcoInvent,"integrated circuit production, logic type",kg,Input,8.2e-06,8.2e-06,mass-based,
40,17,18,Comparator,IC,Analog,"IC26, IC31",SOT23-5,TL331IDBVT,EcoInvent,"integrated circuit production, logic type",kg,Input,1.6425e-05,1.6425e-05,mass-based,
42,18,19,Sensor,IC,Analog,IC34,TSSOP-8,PCT2075DP,EcoInvent,"integrated circuit production, logic type",kg,Input,2.355e-05,2.355e-05,mass-based,
43,19,20,EEPROM,IC,Memory,IC35,SOT23-6,24AA025E48T-I/OT,EcoInvent,"integrated circuit production, logic type",kg,Input,8.2125e-06,8.2125e-06,mass-based,
44,20,21,Isolator,IC,Mixed-Signal,IC37,SOIC-8,ISO1541D,EcoInvent,"integrated circuit production, logic type",kg,Input,4.0131e-05,4.0131e-05,mass-based,
45,21,22,IO Expander,IC,Digital,IC38,,TCA6424ARGJ,EcoInvent,"integrated circuit production, logic type",kg,Input,2.57e-05,2.57e-05,mass-based,
46,22,23,Power Monitor,IC,Mixed-Signal,IC40,VQFN-16,INA3221AIRGV,EcoInvent,"integrated circuit production, logic type",kg,Input,5e-05,5e-05,mass-based,
48,23,25,FFC/FPC,Electromechanical,Connectors,J1,,2203631200,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0015,0.0015,mass-based,
49,23,25,FFC/FPC,Electromechanical,Connectors,J2,,2203630800,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0005,0.0005,mass-based,
50,24,26,PicoBlade,Electromechanical,Connectors,J3,,53261-1071,EcoInvent,"electric connector production, wire clamp",kg,Input,0.000279,0.000279,mass-based,
51,25,27,Pin Header,Electromechanical,Connectors,J4,,FTS-111-03-L-D,EcoInvent,"electric connector production, wire clamp",kg,Input,8.783064e-05,8.783064e-05,mass-based,
