Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error,Subsystem
"D1, D3, D12",SOT23-3,Discrete Semiconductors,Small signal,kg,kg,2.46375e-05,"diode production, glass-, for surface-mounting",Dual,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,3,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,0.008-0.012,,7,3,4,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,,contactor_card
"D2, D4-D6, D9, D10, D13, D14",SOD-80C,Discrete Semiconductors,Small signal,kg,kg,0.00014992,"diode production, glass-, for surface-mounting",Zener,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,8,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,0.017,,8,4,5,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,,contactor_card
D7,DO-214AA,Discrete Semiconductors,Small signal,kg,kg,0.000102937052,"diode production, glass-, for surface-mounting",TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,0.08-0.1,,9,5,6,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,,contactor_card
"D8, D11",DO-214AA,Discrete Semiconductors,Small signal,kg,kg,0.000205874104,"diode production, glass-, for surface-mounting",TVS,LITTELFUSE,SMBJ48CA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,2,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,0.08-0.1,,10,5,6,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,,contactor_card
D15-D20,TO-247-2,Discrete Semiconductors,Power,kg,kg,0.03252,"transistor production, wired, big size, through-hole mounting",Rectifier diode,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,0.00542,YES,,,,,,,,,EcoInvent,Input,,Selected a transistor because the characteristics (materials and size) are more similar,11,6,7,DATASHEET_QTY_KG,,5.42,,MISSING,,contactor_card
LD1,,Discrete Semiconductors,Optoelectronics,kg,kg,0.035,light emitting diode production,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,0.035,YES,,,,,,,,,EcoInvent,Input,,"Only LED‑specific option in your list. However, important limitations from the description: Represents a 5mm through‑hole LED. Default weight assumption: 0.35 g per LED (much larger than your 0.059 g SMD)",17,7,11,DATASHEET_QTY_KG,,35.0,,MISSING,,contactor_card
T1,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,8.2125e-06,"transistor production, surface-mounted",Bipolar Transistor,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,,Specific for surface‑mounted transistors; matches SOT‑23 package.,28,8,13,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,,contactor_card
"T2,T5",DPAK,Discrete Semiconductors,Small signal,kg,kg,0.0006558784,"transistor production, surface-mounted",MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,2,0.0003279392,NO,6.6,6.2,2.3,,,1.2,0.215,,EcoInvent,Input,,Specific for surface‑mounted transistors.,29,9,14,CALCULATED,0.094116,0.327939,1.2,MAX_ONLY,,contactor_card
PCB,,PCB,,m2,m2,0.017,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 2,EDA-04977-V1,"Panel of 2, 160x105 mm",1,0.017,YES,170,100,,,,,,,EcoInvent,Input,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,AREA_LW_MM_TO_M2,,,,,,filter_card
"HVDC_M, HVDV_P",,Passives,Test PIN,kg,kg,0.00016,"electronic component, passive, unspecified",AUTO,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),2,8e-05,YES,,,,,,,,,EcoInvent,Input,,Chossen passive generic because it includes thins kind of components and there is not another alternative.,6,1,4,DATASHEET_QTY_KG,,0.08,,MISSING,,filter_card
