"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","mass_space_relation_m2/kg","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Comments"
"J3",,"Electromechanical","Connectors",,"3M","N3429-6302RB","26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series","1","kg",,"NO","52.4","8.6","27.2",,"1.3","1.5","4",,"EcoInvent","electric connector production, wire clamp","kg","Input","Calculated because there were different mass values depending on the website"
"R1-R4",,"Passives","Resistors",,"Generic","RMF_10K_1%_0.6W_50PPM_1016-630X250","±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor","4","kg",,"NO",,,,"0.03093","3","4","0.003",,"EcoInvent","resistor, metal film type, through-hole mounting","kg","Input","Volume calculated from area and density, THT"
"T1,T2","TO-247-2","Discrete Semiconductors","Power","MOSFET","INFINEON","IRFP4768","250V 93A N-Channel HEXFET® Power MOSFET","2","kg","0.00542","YES",,,,,,,,,"EcoInvent","transistor production, wired, big size, through-hole mounting","kg","Input","COPY FROM CASING"
"Misc1 for DCCTA and DCCTB",,"Hardware","Mounting hardware","CERN","EDA-05281-V1_misc1",,"Epoxy Spacer, 133mm WidthS 81.5mm Length 2.0mm Height","1","kg",,"NO","133","81.5","2",,"1.15","1.19","0",,"EcoInvent","epoxy resin, liquid","kg","Input","IT IS CALCULATED BASED ON THE VOLUME AND THE DENSITY OF EPOXY, THEN IS SELECTED THE LIQUID RESINE"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN628 Art.1241397","M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2","2","kg","0.000117","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"J3 screws",,"Hardware","Mounting hardware",,"3M","3341-5","#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel","2","kg",,"NO",,,,"0.0805","7.8","7.9","0",,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN5687 Art.3061582 ","M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2","2","kg","0.00004","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN670 Art.1253131","Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV","2","kg","0.000035","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"THT_PROCESS",,"Assembly Processes","THT",,,,"Assambly THT components in the PCB","1","m2",,"YES","225","110",,,,,,,"EcoInvent","mounting, through-hole technology, Pb-free solder","m2","Input",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
