Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
"C2,C14",1206,Passives,Capacitors,kg,kg,0.000113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",3,2,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C3, C6, C7, C10, C13,C17, C18, C21, C22,C33 > C35, C38 > C40,C42, C45",1206,Passives,Capacitors,kg,kg,0.000961792,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,17,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",4,2,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
C5,1206,Passives,Capacitors,kg,kg,5.6576e-05,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,1,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",5,2,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C9, C11, C19, C20,C31, C32",1206,Passives,Capacitors,kg,kg,0.000339456,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,±5% 50V C0G/NP0 SMD Multilayer Chip Ceramic Capacitor,6,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",6,2,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
C27 > C30,E,Passives,Capacitors,kg,kg,0.002831378,"capacitor production, electrolyte type, < 2cm height",Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,4,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,Input,,MASS DATA FROM CASING.,7,3,3,CALCULATED,0.128699,0.707844,5.5,MIN_MAX_AVG,
"D1, D2, D15",DO-214AA,Discrete Semiconductors,Small signal,kg,kg,0.000308811156,"diode production, glass-, for surface-mounting",TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,3,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,0.08-0.1,it is SMD,8,4,4,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,
"D3, D4, D7 > D14",SOT23-3,Discrete Semiconductors,Small signal,kg,kg,8.2125e-05,"diode production, glass-, for surface-mounting",Dual,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,10,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,,MASS FROM CASING.,9,5,5,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
D5,SOD-80C,Discrete Semiconductors,Small signal,kg,kg,1.874e-05,"diode production, glass-, for surface-mounting",Zener Diodes,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,1,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),10,6,6,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
D6,DO-214AC,Discrete Semiconductors,Small signal,kg,kg,0.00012,"diode production, glass-, for surface-mounting",Rectifier,FAIRCHILD SEMICONDUCTOR,ES1D,200V 1A Fast Rectifier,1,0.00012,YES,,,,,,,,,EcoInvent,Input,, SMD diode. Mass info: https://www.mouser.ch/ProductDetail/onsemi/ES1D?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,11,7,7,DATASHEET_QTY_KG,,0.12,,MISSING,
IC1,SOIC16,IC,Digital,kg,kg,0.0001853125,"integrated circuit production, logic type",Interface,Texas Instruments,AMC3330DWE,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",1,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,Input,0.2-0.25,"logic IC, MASS INFO FROM CASING.",15,8,11,CALCULATED,0.06825,0.185313,1.25,MIN_MAX_AVG,
"R199, R200 ",,Passives,Resistors,kg,kg,0.0028,"resistor production, metal film type, through-hole mounting",Precision Metal Foil Resistor,VISHAY FOIL RESISTOR ,Y6071020R000B9L,"±0.1% 0.3W ±2ppm/°C Hermetically Sealed, Ultra-High Precision Z-Foil Technology Resistor- HZ Series",2,0.0014,YES,,,,,,,,0,EcoInvent,Input,,"Mass from the datasheet, metal film type is the closest technology",29,9,17,DATASHEET_QTY_KG,,1.4,,MISSING,
"R202, R203",1206,Passives,Resistors,kg,kg,3.8568e-05,"resistor production, surface-mounted",Zero Ohm Jumper,Generic,R1206_0R_JUMPER ,2A (0.05R Max DC Resistance) Zero Ohm Jumper ,3,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,The dataset explicitly represents surface‑mounted resistors.,30,10,18,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
REG1,D2PAK,IC,Analog,kg,kg,0.001566914694,"integrated circuit production, logic type",Power management,STMicroelectronics,L7805ABD2T-TR," ""5V 1.5A Positive Voltage Regulator""",1,0.001566914694,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,Input,,TO-263-2=D2PAK. Mass from casing.,31,11,19,CALCULATED,0.479611755,1.566915,1.25,MIN_MAX_AVG,
"REG2,REG4",TO-220,IC,Analog,kg,kg,0.00464357175,"integrated circuit production, logic type",Power management,FAIRCHILD SEMICONDUCTOR,LM7815CT," ""3-Terminal 15V 1A Positive Voltage Regulatorr""",2,0.002321785875,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,Input,,mass calculated and it is similar to the one on:https://www.datasheets.com/texas-instruments/LM7815CT%2FNOPB,32,11,19,CALCULATED,0.8174287,2.321786,1.25,MIN_MAX_AVG,
"REG3,REG5",TO-220,IC,Analog,kg,kg,0.00464357175,"integrated circuit production, logic type",Power management,FAIRCHILD SEMICONDUCTOR,LM7915CT, 3-Terminal 15V 1A Negative Voltage Regulator,2,0.002321785875,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,Input,,Mass from casing,33,11,19,CALCULATED,0.8174287,2.321786,1.25,MIN_MAX_AVG,
T1,DPAK,Discrete Semiconductors,Power,kg,kg,0.000332645,"transistor production, surface-mounted",MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,1,0.000332645,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,Input,,Specific for surface‑mounted transistors.,34,12,20,CALCULATED,0.094116,0.332645,1.25,MIN_MAX_AVG,
T2,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,8.2125e-06,"transistor production, surface-mounted",MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,,.,35,12,21,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
T3,DPAK,Discrete Semiconductors,Power,kg,kg,0.000332645,"transistor production, surface-mounted",General purpose,onsemi,MJD45H11,80V 8A PNP General-Purpose Power Transistor ,1,0.000332645,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,Input,,Specific for surface‑mounted transistors.,36,13,22,CALCULATED,0.094116,0.332645,1.25,MIN_MAX_AVG,
T4,SOT23-3,Discrete Semiconductors,Small signal,kg,kg,8.2125e-06,"transistor production, surface-mounted",Bipolar transistor,onsemi,MMBT3906L,40V 200mA PNP General Purpose Transistor,1,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,,Specific for surface‑mounted transistors; matches SOT‑23 package.,37,14,23,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
HS1-HS6,,Hardware,Thermal Management,kg,kg,0.005592,"market for aluminium, wrought alloy+ metal working, average for aluminium product manufacturing",Heatsink,FISCHER ELEKTRONIK,FK 242 SA 220 O,TO-220 Heat Sink Rth: 26°C/W,4,0.001398,YES,,,,,,,,,EcoInvent,Input,,"aluminium wrought alloy used in electric components, for the metal workking rest of the world. Mass from:https://www.tme.com/sg/zh/details/fk242sa220o/san-re-qi/fischer-elektronik/fk-242-sa-220-o/",39,15,25,DATASHEET_QTY_KG,,1.398,,MISSING,
F2,,Passives,Protection,kg,kg,0.0025,"electronic component, passive, unspecified",Fuse,MERSEN/FERRAZ SHAWMUT,L080464," Cylindrical 6.3x32mm, Very HRC, FA Very Fast Acting Fuse",1,0.0025,YES,,,,,,,,,EcoInvent,Input,0.008-0.01,"Mass from datasheet, aproximated as passive",41,16,27,DATASHEET_QTY_KG,,2.5,,MISSING,
