Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
Generic,RMF_68K_1%_0.6W_50PPM_1016-630X250,fuse_card,,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.0285,3,4,0.01,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
Infineon,2ED3141MC12L,inverter_power_card,,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,IC,Analog,kg,,NO,10.3,7.5,2.35,,1.2,1.3,0.15,,EcoInvent,"integrated circuit production, logic type",kg,Input
Infineon,BSS119N,"4Q_output_control_card, 4Q_power_card, inverter_power_card",SOT23-3,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input
Infineon,IKW25N120H3,inverter_power_card,TO-247,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input
INFINEON,IRFP4768,"4Q_output_power_card, 4Q_power_card",TO-247-2,250V 93A N-Channel HEXFET® Power MOSFET,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input
KEMET,P272HE102M300A or PME271YA4100MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,13.5,3.9,7.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEMET,P272QE103M300A or PME271YB5100MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,18.5,5.2,10.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEMET,P272SJ473M300A or PME271YD5470MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,27,8,17,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEYSTONE,3576,fuse_card,,Fuse Holder for 10.3x38mm (5AG) Fuses,Electromechanical,Fuse holder,kg,,NO,,,,9.88,1.12,1.15,0.22,,EcoInvent,"electronic component, passive, unspecified",kg,Input
KEYSTONE,3576C,fuse_card,,Cover for Fuse Holder KEYSTONE 3576,Hardware,Enclosure,kg,0.00359,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
LEM,LESR 25-NP,4Q_power_card,,Current Transducer 25A,Modules,Sensors,kg,0.01,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
Littelfuse,microSMD005F,"4Q_output_control_card, contactor_card, inverter_power_card",,PolySwitch® Resettable PPTC Overcurrent Protection Device,Passives,Protection,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input
LITTELFUSE,SMBJ48CA,contactor_card,DO-214AA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,Discrete Semiconductors,Small signal,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
MERSEN,W1014572,fuse_card,,"Protistor® Cylindrical Fuse-Links, Size 10x38 gR 690VAC",Passives,Protection,kg,0.008,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
MERSEN/FERRAZ SHAWMUT,G076458,4Q_output_control_card,,"6.3x46mm Cylindrical Very Fast Acting Ceramic Sand Filled Fuse, FA HRC Series",Passives,Protection,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
MERSEN/FERRAZ SHAWMUT,L080464,4Q_output_control_card,,"Cylindrical 6.3x32mm, Very HRC, FA Very Fast Acting Fuse",Passives,Protection,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
NEXPERIA,BZV55-B10,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",SOD-80C,10V 500mW Voltage Regulator Diode,Discrete Semiconductors,Small signal,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
NEXPERIA,BZV55-B10,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",SOD-80C,10V 500mW Voltage Regulator Diode,Discrete Semiconductors,Small signal,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for through-hole mounting",kg,Input
Nexperia,BZV55-B15,"4Q_power_card, inverter_power_card",SOD-80C,15V 500mW Voltage Regulator Diode,Discrete Semiconductors,Small signal,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
NEXPERIA,MMBT3904,4Q_power_card,SOT23-3,40V 200mA NPN Switching Transistor,Discrete Semiconductors,small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input
NICHICON,LGR2G221MELA50,filter_card,,±20% 400V Aluminium Electrolytic Capacitor (LGR Serie),Passives,Capacitors,kg,,NO,,,,25.5254,5,6,0,,EcoInvent,"capacitor production, electrolyte type, > 2cm height",kg,Input
NXP SEMICONDUCTORS,BAV199,"4Q_output_control_card, 4Q_power_card, contactor_card",SOT23-3,75V 250mW Low-Leakage Double Diode,Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
